protocol,negative_cap,negative_ratio,seed,model,granularity,window_size,setting,precision,recall,f1,macro_f1,auroc,aupr,fpr,fnr,num_positive,num_negative,recall_at_fpr_1e_3,num_train_pos,num_train_neg,num_test_pos,num_test_neg,fit_time,inference_time,status,notes
B_2x_negative_cap,120000,5.662514156285391,42,MLP,sample,1,ctt_test03,0.11151856774544815,0.33440576230492197,0.1672591026995869,0.581612245293535,0.7108111232350551,0.1839328296522052,0.006440689771256436,0.6655942376950781,20825,8614450,0.19846338535414165,21192,120000,20825,8614450,2.4518558979034424,91.34508037567139,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,42,MLP,sample,1,ctt_test04,0.003986753460871542,0.07877000842459983,0.007589388384583124,0.49818315988002887,0.4629277210241945,0.0015650017178004084,0.02122545804047777,0.9212299915754002,14244,13206311,0.009969109800617803,21192,120000,14244,13206311,2.4518558979034424,145.07660365104675,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2024,ExtraTrees,sample,1,ctt_test01,0.9928660049627791,0.3540929203539823,0.5220156555772995,0.7591952906182537,0.674749781496752,0.374022735181429,2.8549187057465435e-05,0.6459070796460177,63280,5639390,0.3668299620733249,21192,120000,63280,5639390,0.21700048446655273,57.560303926467896,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2024,ExtraTrees,sample,1,ctt_test02,0.20377019748653502,0.037333934347341426,0.0631058714510026,0.5243889895452242,0.44830368465360243,0.06034323111884436,0.0038112592003182815,0.9626660656526586,164167,6283750,0.03732784298915129,21192,120000,164167,6283750,0.21700048446655273,65.78541731834412,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2024,ExtraTrees,sample,1,ctt_test03,0.9717274526434831,0.1650420168067227,0.2821607421393974,0.640573360476981,0.7028242416882707,0.38478630494367516,1.1608402161484483e-05,0.8349579831932773,20825,8614450,0.38626650660264106,21192,120000,20825,8614450,0.21700048446655273,86.68669152259827,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2024,ExtraTrees,sample,1,ctt_test04,0.01011027878342982,0.04254422914911542,0.0163379750077511,0.5067852274623659,0.5105999141560214,0.032919852752662127,0.004492776218885047,0.9574557708508846,14244,13206311,0.04015725919685482,21192,120000,14244,13206311,0.21700048446655273,133.41270327568054,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2024,RandomForest,sample,1,ctt_test01,0.9583666166086207,0.9479772439949431,0.9531436198102865,0.976310361357845,0.973889162662147,0.939456123260279,0.0004621067172158691,0.05202275600505689,63280,5639390,0.9479772439949431,21192,120000,63280,5639390,0.4101979732513428,57.07540321350098,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2024,RandomForest,sample,1,ctt_test02,0.2749063783471942,0.9985076172434167,0.43111841672693807,0.6977350505123454,0.9966472298295704,0.9468464354397915,0.0688062064849811,0.0014923827565832353,164167,6283750,0.9322397314929309,21192,120000,164167,6283750,0.4101979732513428,64.99364829063416,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2024,RandomForest,sample,1,ctt_test03,0.8503951825366955,0.6509963985594238,0.737454782821552,0.8684473310200886,0.8254019612416356,0.6204057648048156,0.0002768603915514049,0.34900360144057624,20825,8614450,0.6509963985594238,21192,120000,20825,8614450,0.4101979732513428,90.03952956199646,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2024,RandomForest,sample,1,ctt_test04,0.019094272286595933,0.4717775905644482,0.03670306022688171,0.5115875229414939,0.7203815978615457,0.036758754584893784,0.02614038091333757,0.5282224094355518,14244,13206311,0.11647009267059814,21192,120000,14244,13206311,0.4101979732513428,133.76649045944214,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2024,MLP,sample,1,ctt_test01,0.6326179998794382,0.33168457648546146,0.4351945924651144,0.7151885700649308,0.6532638890735237,0.34569250871095497,0.002161403981636312,0.6683154235145385,63280,5639390,0.32488938053097344,21192,120000,63280,5639390,2.5191333293914795,60.18145203590393,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2024,MLP,sample,1,ctt_test02,0.05379179025229778,0.03579282072523711,0.042984166230802145,0.5111275582469348,0.9688419476356726,0.29432424773076954,0.016448776606325842,0.9642071792747628,164167,6283750,0.03006694402650959,21192,120000,164167,6283750,2.5191333293914795,68.29254531860352,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2024,MLP,sample,1,ctt_test03,0.2710928652321631,0.2758703481392557,0.2734607420805864,0.6358444279364898,0.701647690554726,0.2508728571544269,0.001793149881884508,0.7241296518607443,20825,8614450,0.2471548619447779,21192,120000,20825,8614450,2.5191333293914795,91.55493807792664,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2024,MLP,sample,1,ctt_test04,0.005255435507536348,0.06915192361696153,0.009768482017563434,0.5010789198512159,0.38866887929341,0.0015864973020979988,0.014117492765390729,0.9308480763830385,14244,13206311,0.011864644762707105,21192,120000,14244,13206311,2.5191333293914795,142.36727166175842,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2026,ExtraTrees,sample,1,ctt_test01,0.32513515784755875,0.3668457648546144,0.34473336402381977,0.6684516502240699,0.6667294137357376,0.37976866998240794,0.008544186516626799,0.6331542351453856,63280,5639390,0.3668457648546144,21192,120000,63280,5639390,0.1760239601135254,60.32565450668335,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2026,ExtraTrees,sample,1,ctt_test02,0.015194806806757109,0.03728520348182034,0.021590752766304174,0.48829689477516197,0.39868557234621477,0.06105613166073008,0.06313332007161329,0.9627147965181797,164167,6283750,0.03666388494642651,21192,120000,164167,6283750,0.1760239601135254,66.53882622718811,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,2026,ExtraTrees,sample,1,ctt_test03,0.07915663713468349,0.301608643457383,0.1254018008664923,0.5601496458771432,0.6842326450858481,0.21370637198649586,0.008482027291353481,0.6983913565426171,20825,8614450,0.21426170468187275,21192,120000,20825,8614450,0.1760239601135254,94.28885293006897,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
