experiment,setting,seed,ablation,features_used,num_features,threshold_type,threshold,fit_time_sec,num_train_pos,num_train_neg,auroc,aupr,recall_at_fpr_1e_3,num_test_pos,num_test_neg,precision,recall,f1,actual_fpr,fnr,tp,fp,tn,fn
multiseed_feature_removal,ctt_test04,2024,only_timing,delta_t_global|delta_t_same_id,2,validation_best_f1,0.03892058010001464,1.6730639934539795,21192,120000,0.746669814181929,0.4272404770181683,0.4934709351305813,14244,13206311,0.7695423691701335,0.4934709351305813,0.6013345880742579,0.00015939348997611824,0.5065290648694187,7029,2105,13204206,7215
multiseed_feature_removal,ctt_test04,2024,only_payload,data0|data1|data2|data3|data4|data5|data6|data7|payload_sum|payload_mean|payload_std|payload_delta_l1,12,validation_best_f1,0.06827120552757915,3.248971462249756,21192,120000,0.46172073039643147,0.013389973281724483,0.02604605447907891,14244,13206311,0.0007928452862518315,0.09147711317045773,0.0015720652569958715,0.12434547391773525,0.9085228868295423,1303,1642145,11564166,12941
multiseed_feature_removal,ctt_test04,2024,only_id,can_id,1,validation_best_f1,0.07169992488831979,0.6264290809631348,21192,120000,0.7558765566602061,0.04381354347367091,0.05497051390058972,14244,13206311,0.00131463770523646,0.2561078348778433,0.0026158478936078445,0.2098436876126876,0.7438921651221567,3648,2771261,10435050,10596
multiseed_feature_removal,ctt_test04,2026,full_safe_can,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,16,validation_best_f1,0.05821941505913506,4.456206560134888,21192,120000,0.6097838455703902,0.26423336888655463,0.35565852288682953,14244,13206311,0.739454094292804,0.35565852288682953,0.48030338942877454,0.00013516265064483185,0.6443414771131705,5066,1785,13204526,9178
multiseed_feature_removal,ctt_test04,2026,without_delta_t_same_id,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|payload_sum|payload_mean|payload_std|payload_delta_l1,15,validation_best_f1,0.07219954667090904,4.077416181564331,21192,120000,0.6080807300330165,0.06080930559392736,0.06683515866329683,14244,13206311,0.003998495767427225,0.14630721707385566,0.00778425220379501,0.03930787333419605,0.8536927829261444,2084,519112,12687199,12160
multiseed_feature_removal,ctt_test04,2026,without_payload_delta_l1,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std,15,validation_best_f1,0.05821941505913506,4.2636706829071045,21192,120000,0.6097838455703902,0.26423336888655463,0.35565852288682953,14244,13206311,0.739454094292804,0.35565852288682953,0.48030338942877454,0.00013516265064483185,0.6443414771131705,5066,1785,13204526,9178
multiseed_feature_removal,ctt_test04,2026,without_payload_statistics,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_delta_l1,13,validation_best_f1,0.05821941505913506,3.410634994506836,21192,120000,0.6097838455703902,0.26423336888655463,0.35565852288682953,14244,13206311,0.739454094292804,0.35565852288682953,0.48030338942877454,0.00013516265064483185,0.6443414771131705,5066,1785,13204526,9178
multiseed_feature_removal,ctt_test04,2026,without_can_id,dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,15,validation_best_f1,0.05821941505913506,4.3316380977630615,21192,120000,0.6097838455703902,0.26423336888655463,0.35565852288682953,14244,13206311,0.739454094292804,0.35565852288682953,0.48030338942877454,0.00013516265064483185,0.6443414771131705,5066,1785,13204526,9178
multiseed_feature_removal,ctt_test04,2026,without_payload_bytes,can_id|dlc|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,8,validation_best_f1,0.05565285192111251,3.315028667449951,21192,120000,0.7241088131756964,0.33519798100722137,0.4700224655995507,14244,13206311,0.7361801242236025,0.332841898343162,0.45842196867143686,0.00012865061257454863,0.667158101656838,4741,1699,13204612,9503
multiseed_feature_removal,ctt_test04,2026,only_timing,delta_t_global|delta_t_same_id,2,validation_best_f1,0.047795153164367096,1.6835761070251465,21192,120000,0.7457562729182623,0.4199740468960269,0.4916456051670879,14244,13206311,0.779510022271715,0.4914349901713002,0.6028246641405443,0.0001499283183623345,0.5085650098286998,7000,1980,13204331,7244
multiseed_feature_removal,ctt_test04,2026,only_payload,data0|data1|data2|data3|data4|data5|data6|data7|payload_sum|payload_mean|payload_std|payload_delta_l1,12,validation_best_f1,0.06863344989395696,3.2408671379089355,21192,120000,0.48851035248249736,0.013493418752984073,0.02604605447907891,14244,13206311,0.000811231323482845,0.09154731816905363,0.0016082117462355328,0.12161829295099896,0.9084526818309464,1304,1606129,11600182,12940
multiseed_feature_removal,ctt_test04,2026,only_id,can_id,1,validation_best_f1,0.07190077055387627,0.6398725509643555,21192,120000,0.7488197674788394,0.043566065807969394,0.05497051390058972,14244,13206311,0.00131463770523646,0.2561078348778433,0.0026158478936078445,0.2098436876126876,0.7438921651221567,3648,2771261,10435050,10596
