dataset,model,granularity,threshold_type,fpr_budget,recall_at_fpr,precision_at_fpr,f1_at_fpr,actual_fpr,aupr,auroc,source
ctt_test02,predict_all_normal,none,formal_trivial,0.0005,0.0,0.0,0.0,0.0,0.012497707013081102,,derived_trivial_baseline
ctt_test02,predict_all_normal,none,formal_trivial,0.001,0.0,0.0,0.0,0.0,0.012497707013081102,,derived_trivial_baseline
ctt_test02,predict_all_normal,none,formal_trivial,0.005,0.0,0.0,0.0,0.0,0.012497707013081102,,derived_trivial_baseline
ctt_test02,predict_all_normal,none,formal_trivial,0.01,0.0,0.0,0.0,0.0,0.012497707013081102,,derived_trivial_baseline
ctt_test03,predict_all_normal,none,formal_trivial,0.0001,0.0,0.0,0.0,0.0,0.0036489260522443,,derived_trivial_baseline
ctt_test03,predict_all_normal,none,formal_trivial,0.0005,0.0,0.0,0.0,0.0,0.0036489260522443,,derived_trivial_baseline
ctt_test03,predict_all_normal,none,formal_trivial,0.001,0.0,0.0,0.0,0.0,0.0036489260522443,,derived_trivial_baseline
ctt_test03,predict_all_normal,none,formal_trivial,0.005,0.0,0.0,0.0,0.0,0.0036489260522443,,derived_trivial_baseline
ctt_test03,predict_all_normal,none,formal_trivial,0.01,0.0,0.0,0.0,0.0,0.0036489260522443,,derived_trivial_baseline
ctt_test04,predict_all_normal,none,formal_trivial,0.0001,0.0,0.0,0.0,0.0,0.0026724392684081,,derived_trivial_baseline
ctt_test04,predict_all_normal,none,formal_trivial,0.0005,0.0,0.0,0.0,0.0,0.0026724392684081,,derived_trivial_baseline
ctt_test04,predict_all_normal,none,formal_trivial,0.001,0.0,0.0,0.0,0.0,0.0026724392684081,,derived_trivial_baseline
ctt_test04,predict_all_normal,none,formal_trivial,0.005,0.0,0.0,0.0,0.0,0.0026724392684081,,derived_trivial_baseline
ctt_test04,predict_all_normal,none,formal_trivial,0.01,0.0,0.0,0.0,0.0,0.0026724392684081,,derived_trivial_baseline
