model,local_model,feature_protocol,negative_protocol,seed,reported_f1,reported_precision,reported_recall,status,abs_diff_reported_f1_vs_attack_f1,abs_diff_reported_f1_vs_normal_f1,abs_diff_reported_f1_vs_macro_f1,abs_diff_reported_f1_vs_weighted_f1,abs_diff_reported_f1_vs_accuracy,abs_diff_reported_precision_vs_attack_precision,abs_diff_reported_precision_vs_normal_precision,abs_diff_reported_recall_vs_attack_recall,abs_diff_reported_recall_vs_normal_recall,abs_diff_reported_recall_vs_accuracy,best_f1_hypothesis,best_f1_hypothesis_abs_diff
GradientBoosting,GradientBoosting,SAFE_CAN,A_capped,42.0,0.9982,0.998,0.9984,matched_when_reported_target_available,0.8025564356435528,0.0012619548896651844,0.40064724037694377,0.00039591037377639804,0.0007246291097463553,0.49406528708815844,0.0010531222980127986,0.8770155574276889,0.0014711222233069199,0.0005246291097463773,weighted_f1,0.00039591037377639804
LogisticRegression,LogisticRegression,P1_public_default,A_capped,42.0,0.9977,0.9979,0.9976,matched_when_reported_target_available,0.9935698883291463,0.006365118403523828,0.49996750336633505,0.007428745818773952,0.014880746194089411,0.9956973877299065,0.0010410856758791276,0.9645334456613311,0.01375636645237266,0.014780746194089422,normal_f1,0.006365118403523828
LogisticRegression,LogisticRegression,P3_no_subdivision,A_capped,42.0,0.9977,0.9979,0.9976,matched_when_reported_target_available,0.9557898412136221,0.0016857517335738814,0.47705204474002416,0.0006541549249724499,0.0010722905732777344,0.8662722654801296,0.0010492246020497031,0.9726772254984556,0.0022226605446441505,0.0011722905732777233,weighted_f1,0.0006541549249724499
LogisticRegression,LogisticRegression,P5_arbitration_payload_only,A_capped,42.0,0.9977,0.9979,0.9976,matched_when_reported_target_available,0.9959660005996867,0.025127060324766304,0.5105465304622265,0.02617305497970146,0.0510873199725731,0.9970151745401217,0.0010119366322622891,0.9545643358607133,0.05001274417965773,0.05098731997257311,normal_f1,0.025127060324766304
LogisticRegression,LogisticRegression,P7_public_plus_delta,A_capped,42.0,0.9977,0.9979,0.9976,matched_when_reported_target_available,0.9886298595981603,0.007708356278015915,0.4981691079380881,0.00876521401910857,0.017516565945983387,0.9931066842568161,0.0010942496057373408,0.913424206683516,0.016450154293655594,0.017416565945983398,normal_f1,0.007708356278015915
LogisticRegression,LogisticRegression,SAFE_CAN,A_capped,42.0,0.9977,0.9979,0.9976,matched_when_reported_target_available,0.9745922611625498,0.0004931719227584397,0.48754271654265413,0.0015426791051067479,0.003270416673127441,0.9836544731935493,0.0010837692608325344,0.9364514462229712,0.0021638028666748355,0.003170416673127452,normal_f1,0.0004931719227584397
MLP,MLP,P1_public_default,B_2x_negative_cap,42.0,0.9976,0.9979,0.9973,matched_when_reported_target_available,0.9958680320793492,0.0701823422186012,0.5330251871489752,0.07117968816711662,0.13292540804830055,0.9970270781810604,0.0009908132736756725,0.8883418421791631,0.13181031101720986,0.13262540804830047,normal_f1,0.0701823422186012
MLP,MLP,SAFE_CAN,B_2x_negative_cap,42.0,0.9976,0.9979,0.9973,matched_when_reported_target_available,0.989469918699187,0.007940604523886452,0.4987052616115367,0.008998117128396044,0.01806782453535427,0.9936110260277681,0.0010866521215693314,0.9194426565571469,0.016795300390850976,0.017767824535354193,normal_f1,0.007940604523886452
MLP,MLP,P1_public_default,C_5x_negative_cap,42.0,0.9976,0.9979,0.9973,matched_when_reported_target_available,0.9959168415520397,0.06903784035440674,0.5324773409532233,0.07003647199226604,0.13093449314344208,0.9970515766058954,0.000987616965663518,0.8929753720864926,0.12981225115022643,0.130634493143442,normal_f1,0.06903784035440674
MLP,MLP,SAFE_CAN,C_5x_negative_cap,42.0,0.9976,0.9979,0.9973,matched_when_reported_target_available,0.9939819043715437,0.015474990293596003,0.5047284473325698,0.01652924652445198,0.032719932559563514,0.9960339112379274,0.0010504893487316425,0.9381171861836562,0.031443069930732315,0.032419932559563436,normal_f1,0.015474990293596003
MLP,MLP,P1_public_default,A_capped,42.0,0.9976,0.9979,0.9973,matched_when_reported_target_available,0.9954455130243868,0.05189996734793623,0.5236727401861615,0.052916555740225024,0.10059522221268324,0.9968113933424668,0.0010238602029197796,0.8940986520640269,0.09943904549120486,0.10029522221268317,normal_f1,0.05189996734793623
MLP,MLP,P3_no_subdivision,A_capped,42.0,0.9976,0.9979,0.9973,matched_when_reported_target_available,0.9956595290288682,0.24974521395858618,0.6227023714937272,0.2505488718612886,0.40018355265720684,0.9969271660221846,0.0009521999227291023,0.6340593372648133,0.39963097645512047,0.39988355265720676,normal_f1,0.24974521395858618
MLP,MLP,P5_arbitration_payload_only,A_capped,42.0,0.9976,0.9979,0.9973,matched_when_reported_target_available,0.992652991091863,0.033019322944862206,0.5128361570183626,0.03405324489209405,0.06600378486379721,0.9953871113853529,0.001126770070048022,0.8394791631564168,0.06486920990275014,0.06570378486379713,normal_f1,0.033019322944862206
MLP,MLP,P7_public_plus_delta,A_capped,42.0,0.9976,0.9979,0.9973,matched_when_reported_target_available,0.986420625035067,0.0029611369701861845,0.4946908810026266,0.004020729169454396,0.008264453950685202,0.991689932990494,0.0010729010713618203,0.9413466161190677,0.006957731065094563,0.007964453950685124,normal_f1,0.0029611369701861845
MLP,MLP,SAFE_CAN,A_capped,42.0,0.9976,0.9979,0.9973,matched_when_reported_target_available,0.9911435039392654,0.010881459053420861,0.5010124814963431,0.011937606285314928,0.023812515283964997,0.9945343049809895,0.0010819962016149764,0.9182491715810166,0.022547474483979646,0.02351251528396492,normal_f1,0.010881459053420861
IsolationForest,IsolationForest,SAFE_CAN,A_capped,42.0,0.993,0.998,0.9881,matched_when_reported_target_available,0.9908146667405134,0.9633395242053927,0.9770770954729531,0.9633691262856586,0.9768853210020305,0.996906138143909,0.0020000000000000018,0.011900000000000022,0.9730465153440654,0.9719853210020305,normal_f1,0.9633395242053927
IsolationForest,IsolationForest,P1_public_default,A_capped,42.0,0.993,0.998,0.9881,matched_when_reported_target_available,0.9907407321602074,0.8052623594035918,0.8980015457818996,0.805462196244144,0.8884981844559475,0.9968690084087757,0.0013864170260510233,0.04707219882055602,0.8845004406681017,0.8835981844559475,normal_f1,0.8052623594035918
GaussianNB,GaussianNB,P1_public_default,A_capped,42.0,0.9411,0.9979,0.8906,matched_when_reported_target_available,0.9389252485060658,0.001032541423971578,0.46894635354104713,1.981852695509545e-05,0.050490944631295664,0.9968018316973459,0.0010251141960103682,0.7799569222128615,0.0008503073568388864,9.055368704435907e-06,weighted_f1,1.981852695509545e-05
GaussianNB,GaussianNB,P3_no_subdivision,A_capped,42.0,0.9411,0.9979,0.8906,matched_when_reported_target_available,0.939442483489313,0.036446796407682336,0.45149784354081535,0.03539536045035285,0.01498134454264588,0.9970504347412263,0.0010123705091026336,0.8567611906767761,0.06647605250247401,0.06548134454264598,accuracy,0.01498134454264588
GaussianNB,GaussianNB,P5_arbitration_payload_only,A_capped,42.0,0.9411,0.9979,0.8906,matched_when_reported_target_available,0.9402735870353948,0.023974576600508835,0.45814950521744296,0.022935682935089408,0.008591720279519377,0.9974800958610425,0.0009757702189383544,0.8646943555181128,0.04288611887150018,0.04190827972048072,accuracy,0.008591720279519377
GaussianNB,GaussianNB,P7_public_plus_delta,A_capped,42.0,0.9411,0.9979,0.8906,matched_when_reported_target_available,0.9309841350042544,0.05172046249709905,0.4396318362535776,0.05066168362686185,0.04464432011364117,0.9924330684076071,0.0010818623386807946,0.8229925863521482,0.09613459984396855,0.09514432011364127,accuracy,0.04464432011364117
GaussianNB,GaussianNB,SAFE_CAN,A_capped,42.0,0.9411,0.9979,0.8906,matched_when_reported_target_available,0.9243626188734453,0.056351688787976695,0.4340054650427343,0.05529505428221437,0.05381655229300142,0.9873281595386831,0.0010616030867548476,0.8504427408031452,0.10534633202262178,0.10431655229300152,accuracy,0.05381655229300142
RandomForest,RandomForest,SAFE_CAN,A_capped,42.0,0.0003,0.0011,0.0001,matched_when_reported_target_available,0.05676600891191609,0.9939104098162567,0.5253382093640864,0.9929007181016136,0.9881914816359828,0.030195670674923524,0.9981626272407833,0.3231238135355237,0.9891090228679303,0.9883914816359828,attack_f1,0.05676600891191609
RandomForest,RandomForest,P1_public_default,A_capped,42.0,0.0003,0.0011,0.0001,matched_when_reported_target_available,0.001852507189568954,0.0003,0.0007762535947844771,0.00029768086041711406,0.00077741316457592,2.258683542408018e-05,0.0011,0.9999,0.0001,0.0009774131645759198,weighted_f1,0.00029768086041711406
ExtraTrees,ExtraTrees,SAFE_CAN,A_capped,42.0,0.0,0.0,0.0,matched_when_reported_target_available,0.015356694122574505,0.9957135209227569,0.5055351075226657,0.9946572715715805,0.9914642010112285,0.008768084173608174,0.9989814172674772,0.061780398764392,0.9924669349373948,0.9914642010112285,attack_f1,0.015356694122574505
ExtraTrees,ExtraTrees,P1_public_default,A_capped,42.0,0.0,0.0,0.0,matched_when_reported_target_available,0.004428939318925848,0.979984175921042,0.49220655761998394,0.978933099866356,0.960757320702497,0.0022766999293710078,0.9989704004685975,0.0810165683796686,0.9617061872918183,0.960757320702497,attack_f1,0.004428939318925848
KNN,,,,,,,,no_local_completed_prediction,,,,,,,,,,,NA,
LinearSVM,LinearSVM,SAFE_CAN,A_capped,42.0,0.0003,0.0002,0.0009,matched_when_reported_target_available,0.026235577236588467,0.9982298796014839,0.5122327284190362,0.9971826401442232,0.9967641928421311,0.020442291333359924,0.9987605854613227,0.0362384442572311,0.997199544982698,0.9961641928421311,attack_f1,0.026235577236588467
LinearSVM,LinearSVM,P1_public_default,A_capped,42.0,0.0003,0.0002,0.0009,matched_when_reported_target_available,0.002843024196945829,0.9692663554473206,0.4860546898221332,0.9682251182276782,0.9406359138099725,0.001400617882711507,0.9987549031010539,0.0855223532715529,0.9409575709749679,0.9400359138099724,attack_f1,0.002843024196945829
DecisionTree,,,,,,,,no_local_completed_prediction,,,,,,,,,,,NA,
RestrictedBoltzmannMachine,,,,,,,,no_local_completed_prediction,,,,,,,,,,,NA,
KMeans,,,,,,,,no_local_completed_prediction,,,,,,,,,,,NA,
MiniBatchKMeans,,,,,,,,no_local_completed_prediction,,,,,,,,,,,NA,
