dataset,model,seed,granularity,threshold,train_protocol,test_protocol,precision,recall,f1,auroc,aupr,fpr,fnr
ctt_test01,LogisticRegression,2024,sample,0.2033115029335022,all positives + capped negative sampling,full official test folder,0.7213946218380172,0.35737989886219973,0.47797186908875716,0.5974436250568287,0.35493755239086405,0.0015487490668316963,0.6426201011378002
ctt_test01,GaussianNB,2024,sample,3.208074916827286e-10,all positives + capped negative sampling,full official test folder,0.9775156496188733,0.3627528445006321,0.5291426068715928,0.6566691466789423,0.3619061429659416,9.36271476170295e-05,0.6372471554993678
ctt_test01,IsolationForest,2024,sample,-0.11838897137434079,all positives + capped negative sampling,full official test folder,0.011897187243582946,0.9999209860935525,0.023514594842880515,0.4381738572443668,0.010962568445856177,0.931875433335875,7.901390644753477e-05
ctt_test01,BIRCH,2024,sample,0.7852981090545654,all positives + capped negative sampling,full official test folder,0.01291211465210158,0.999968394437421,0.025495024223657417,0.6526652582945055,0.02230595036609563,0.8577862144664582,3.1605562579013905e-05
ctt_test02,GradientBoosting,2024,sample,0.08532433018125712,all positives + capped negative sampling,full official test folder,0.9349520657384159,0.9980142172300158,0.9654544543866215,0.998072130019116,0.9349986378737238,0.00181404416152775,0.0019857827699842233
ctt_test02,RandomForest,2024,sample,0.013905626092290598,all positives + capped negative sampling,full official test folder,0.401015216008611,0.9985380740343675,0.5722239578879023,0.9987425385554589,0.9757353780805643,0.03896606325840461,0.0014619259656325572
ctt_test02,MLP,2024,sample,0.019224150106310844,all positives + capped negative sampling,full official test folder,0.22199104927234703,0.9983005110649521,0.3632144729070699,0.9725911419178384,0.32814964336857677,0.09140656455142232,0.0016994889350478476
ctt_test02,LogisticRegression,2024,sample,0.2033115029335022,all positives + capped negative sampling,full official test folder,0.103658840122791,0.03805271461377743,0.055669423255150785,0.7127546205360182,0.06736503936287079,0.008596459120747961,0.9619472853862225
ctt_test02,GaussianNB,2024,sample,3.208074916827286e-10,all positives + capped negative sampling,full official test folder,0.281783055319951,0.03642632197701121,0.06451299699550674,0.5053296018913062,0.05901484843723942,0.0024256216431271134,0.9635736780229888
ctt_test02,IsolationForest,2024,sample,-0.11838897137434079,all positives + capped negative sampling,full official test folder,0.02678366181456466,1.0,0.05217001947076509,0.48480215332359583,0.027579895608662214,0.9493063855182017,0.0
ctt_test02,BIRCH,2024,sample,0.7852981090545654,all positives + capped negative sampling,full official test folder,0.02606400428342368,0.999865990119817,0.05080368366555333,0.4320100080513408,0.021946737256318734,0.9761083747762085,0.0001340098801829844
ctt_test03,GradientBoosting,2024,sample,0.08532433018125712,all positives + capped negative sampling,full official test folder,0.8003207698476343,0.47923169267707083,0.5994894128247484,0.7322008724905723,0.5265912570066635,0.00028904921382096364,0.5207683073229292
ctt_test03,RandomForest,2024,sample,0.013905626092290598,all positives + capped negative sampling,full official test folder,0.7887340646308924,0.6387515006002401,0.7058636243035289,0.819567335728933,0.6094466564988593,0.00041360736901369213,0.3612484993997599
ctt_test03,MLP,2024,sample,0.019224150106310844,all positives + capped negative sampling,full official test folder,0.06989126817573671,0.4941656662665066,0.12246233667325132,0.7067233511140933,0.2513613121211131,0.01589793892819623,0.5058343337334934
ctt_test03,LogisticRegression,2024,sample,0.2033115029335022,all positives + capped negative sampling,full official test folder,0.43333483328083516,0.4624249699879952,0.4474075450659729,0.6903549215559437,0.42795949071383765,0.0014618460841957408,0.5375750300120048
ctt_test03,GaussianNB,2024,sample,3.208074916827286e-10,all positives + capped negative sampling,full official test folder,0.9011253141046651,0.396062424969988,0.5502701981453065,0.7027415343062045,0.37775493678483385,0.00010505603956143456,0.603937575030012
ctt_test03,IsolationForest,2024,sample,-0.11838897137434079,all positives + capped negative sampling,full official test folder,0.0025869796599423,1.0,0.005160608929550936,0.6194529672953755,0.09974876937379365,0.9320505661998154,0.0
ctt_test03,BIRCH,2024,sample,0.7852981090545654,all positives + capped negative sampling,full official test folder,0.002703489008161522,0.9611524609843938,0.005391812155039921,0.914128534106792,0.37146976104805235,0.8571353945986104,0.038847539015606246
ctt_test04,GradientBoosting,2024,sample,0.08532433018125712,all positives + capped negative sampling,full official test folder,0.5099818511796733,0.11836562763268745,0.19213675213675213,0.6097719703975658,0.24743047349106112,0.00012266862411463732,0.8816343723673126
ctt_test04,RandomForest,2024,sample,0.013905626092290598,all positives + capped negative sampling,full official test folder,0.012775460002369989,0.4389918562201629,0.024828369380065038,0.7001155548376924,0.05233664227517283,0.036588643111615346,0.5610081437798371
ctt_test04,MLP,2024,sample,0.019224150106310844,all positives + capped negative sampling,full official test folder,0.002392890111680272,0.09281100814377984,0.004665492647084773,0.39388180922712607,0.001489604929924779,0.04173368323674946,0.9071889918562202
ctt_test04,LogisticRegression,2024,sample,0.2033115029335022,all positives + capped negative sampling,full official test folder,0.011076727041048512,0.08543948329121033,0.01961100278775964,0.3347217285920371,0.019418882336735662,0.00822735433081956,0.9145605167087897
ctt_test04,GaussianNB,2024,sample,3.208074916827286e-10,all positives + capped negative sampling,full official test folder,0.010555258253215478,0.04015725919685482,0.016716592386936506,0.5207041607315619,0.0016800576799417748,0.004060104294075764,0.9598427408031451
ctt_test04,IsolationForest,2024,sample,-0.11838897137434079,all positives + capped negative sampling,full official test folder,0.0010799578206869697,1.0,0.0021575855399962192,0.793932524413504,0.06742126972128848,0.9976412035124722,0.0
ctt_test04,BIRCH,2024,sample,0.7852981090545654,all positives + capped negative sampling,full official test folder,0.0011174083656890676,1.0,0.0022323223157476044,0.7689068306116249,0.30346252716281463,0.9641685706174874,0.0
ctt_test01,GradientBoosting,2026,sample,0.06970278419144114,all positives + capped negative sampling,full official test folder,0.887106238639779,0.9795037926675095,0.9310181673438427,0.9892464340947058,0.9108929246090145,0.0013987328416725923,0.020496207332490517
ctt_test01,RandomForest,2026,sample,0.016684015367186292,all positives + capped negative sampling,full official test folder,0.8255931425072708,0.4261694058154235,0.5621554015321278,0.7127847637235039,0.43021309183517886,0.0010102156438905627,0.5738305941845765
ctt_test01,MLP,2026,sample,0.03854431211948395,all positives + capped negative sampling,full official test folder,0.24875150961255998,0.3612989886219975,0.29464337493797965,0.602492547802963,0.35185049202006297,0.012243877440645177,0.6387010113780025
ctt_test01,LogisticRegression,2026,sample,0.45269468426704407,all positives + capped negative sampling,full official test folder,0.8454694719156898,0.34990518331226295,0.4949647363891404,0.6019721405391285,0.3560293900911114,0.0007176308075873454,0.650094816687737
ctt_test01,GaussianNB,2026,sample,4.494764005436025e-10,all positives + capped negative sampling,full official test folder,0.9773075613079019,0.3627528445006321,0.529112115065462,0.6566684396017234,0.36191923536067605,9.451376833309986e-05,0.6372471554993678
ctt_test01,IsolationForest,2026,sample,-0.11925826557612923,all positives + capped negative sampling,full official test folder,0.01193907400380509,0.999905183312263,0.023596402102471725,0.5238855397488779,0.01419274742178345,0.9285520242437568,9.481668773704172e-05
ctt_test01,BIRCH,2026,sample,1.0444309711456299,all positives + capped negative sampling,full official test folder,0.01674681953334626,0.9759481668773704,0.03292859951613226,0.7473350984596452,0.043236927303273394,0.6429750380803597,0.02405183312262958
ctt_test02,GradientBoosting,2026,sample,0.06970278419144114,all positives + capped negative sampling,full official test folder,0.9331844873642302,0.9980203085882059,0.9645140401483487,0.9980150903069177,0.9338119167670053,0.0018668788541873881,0.0019796914117940875
ctt_test02,RandomForest,2026,sample,0.016684015367186292,all positives + capped negative sampling,full official test folder,0.33680493501531406,0.9987329974964518,0.5037344041390285,0.9980301162187157,0.9135168693243598,0.05137823751740601,0.001267002503548216
ctt_test02,MLP,2026,sample,0.03854431211948395,all positives + capped negative sampling,full official test folder,0.023676789763962786,0.05329329280549684,0.03278713098550643,0.9169959557426366,0.1548034186524394,0.057413009747364234,0.9467067071945031
ctt_test02,LogisticRegression,2026,sample,0.45269468426704407,all positives + capped negative sampling,full official test folder,0.22430955224961088,0.03774814670427065,0.06462141672836481,0.7247122053695197,0.07001794585434876,0.0034103839267953053,0.9622518532957294
ctt_test02,GaussianNB,2026,sample,4.494764005436025e-10,all positives + capped negative sampling,full official test folder,0.2813323296951449,0.03642632197701121,0.06450116760056734,0.5051306123668076,0.05891802504347261,0.00243103242490551,0.9635736780229888
ctt_test02,IsolationForest,2026,sample,-0.11925826557612923,all positives + capped negative sampling,full official test folder,0.02675561137371396,1.0,0.05211680574682649,0.39924989752722717,0.023951415855604122,0.9503290232743187,0.0
ctt_test02,BIRCH,2026,sample,1.0444309711456299,all positives + capped negative sampling,full official test folder,0.027450633950443462,0.9993786814646062,0.053433570605983235,0.4342872673534515,0.02205762559968463,0.9250310722100656,0.0006213185353938367
ctt_test03,GradientBoosting,2026,sample,0.06970278419144114,all positives + capped negative sampling,full official test folder,0.8485467606933369,0.6182472989195679,0.715317517639869,0.7906154446334717,0.5910780533166119,0.00026676108167091343,0.3817527010804322
ctt_test03,RandomForest,2026,sample,0.016684015367186292,all positives + capped negative sampling,full official test folder,0.6234065870681202,0.5189915966386555,0.5664273360934963,0.759286810822629,0.49476938384834085,0.0007579125771233219,0.48100840336134454
ctt_test03,MLP,2026,sample,0.03854431211948395,all positives + capped negative sampling,full official test folder,0.08447178772486384,0.44240096038415366,0.1418574035152551,0.7077127913826524,0.21190014047405073,0.011591337810307101,0.5575990396158463
ctt_test03,LogisticRegression,2026,sample,0.45269468426704407,all positives + capped negative sampling,full official test folder,0.629748915472591,0.4600720288115246,0.5317017675296207,0.6898305540154526,0.428595743000971,0.0006539012937564209,0.5399279711884754
ctt_test03,GaussianNB,2026,sample,4.494764005436025e-10,all positives + capped negative sampling,full official test folder,0.9000654593061314,0.39615846338535415,0.5501650495148545,0.7027457518993064,0.3777010954558737,0.00010633296379919786,0.6038415366146459
ctt_test03,IsolationForest,2026,sample,-0.11925826557612923,all positives + capped negative sampling,full official test folder,0.0025952183429160136,1.0,0.005177001237259791,0.6076562470759072,0.04710418088899918,0.9290840390274481,0.0
ctt_test03,BIRCH,2026,sample,1.0444309711456299,all positives + capped negative sampling,full official test folder,0.0036847333853368986,0.9851140456182473,0.007342004641048803,0.9186238920802666,0.3486907383522236,0.6439241042666682,0.0148859543817527
ctt_test04,GradientBoosting,2026,sample,0.06970278419144114,all positives + capped negative sampling,full official test folder,0.7728695652173913,0.4679865206402696,0.5829725829725829,0.7226585195540685,0.36947973723246663,0.00014833816953121882,0.5320134793597304
ctt_test04,RandomForest,2026,sample,0.016684015367186292,all positives + capped negative sampling,full official test folder,0.03692732166062092,0.4209491715810166,0.0678983336824881,0.7062444400578541,0.1331237728792008,0.011841081131589283,0.5790508284189835
ctt_test04,MLP,2026,sample,0.03854431211948395,all positives + capped negative sampling,full official test folder,0.0021102946784978768,0.06992417860151642,0.004096944567846389,0.4341712858460023,0.0013667117325415967,0.0356629493277873,0.9300758213984835
ctt_test04,LogisticRegression,2026,sample,0.45269468426704407,all positives + capped negative sampling,full official test folder,0.014857957922263165,0.061429373771412527,0.023928351678402956,0.3360733185721196,0.01631641442151723,0.0043930511707622215,0.9385706262285874
ctt_test04,GaussianNB,2026,sample,4.494764005436025e-10,all positives + capped negative sampling,full official test folder,0.010538145507470661,0.04015725919685482,0.01669512426484538,0.5203573716274816,0.0016780159676933676,0.004066767774891868,0.9598427408031451
ctt_test04,IsolationForest,2026,sample,-0.11925826557612923,all positives + capped negative sampling,full official test folder,0.0010851321356351177,1.0,0.0021679118005082814,0.8039676128793627,0.07805266345002315,0.9928789349273995,0.0
ctt_test04,BIRCH,2026,sample,1.0444309711456299,all positives + capped negative sampling,full official test folder,0.0011789092692816624,0.9428531311429373,0.0023548740896342578,0.7816826020596956,0.30717794845038643,0.8615923099190985,0.057146868857062626
ctt_test01,GradientBoosting,7,sample,0.007766812246681532,all positives + capped negative sampling,full official test folder,0.8598156745894255,0.9804045512010113,0.9161590430833979,0.9897481766305907,0.9117100963025987,0.0017936337086103284,0.019595448798988623
ctt_test01,RandomForest,7,sample,0.02857142857142857,all positives + capped negative sampling,full official test folder,0.9437417406078913,0.9479772439949431,0.9458547507174166,0.9737006723716783,0.9173123484004219,0.000634111136133518,0.05202275600505689
ctt_test01,MLP,7,sample,0.015164339914917946,all positives + capped negative sampling,full official test folder,0.20939590016856072,0.36513906447534766,0.26615829426468385,0.6208282972235171,0.3565176808921402,0.015469758253995556,0.6348609355246524
ctt_test01,LogisticRegression,7,sample,0.44863054156303406,all positives + capped negative sampling,full official test folder,0.8680512179887571,0.3513906447534766,0.5002699784017278,0.6014067338636582,0.3584084467097828,0.0005993556040635601,0.6486093552465234
