dataset,model,granularity,window_size,f1,auroc,aupr,mean_attack_ratio,precision,recall,fpr,fnr,candidate,policy,alpha_supervised,threshold,recall_at_fpr_1em04,recall_at_fpr_5em04,recall_at_fpr_1em03,seed,label_ratio,epochs,aux_loss_weight,accuracy,macro_f1,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,source,scope,Model,exceeds_transformer_f1,exceeds_old_cmf_f1,exceeds_old_cmf_aupr,selection_metric,metric,mean,std,n,seeds
ctt_test02,GradientBoosting,window_100,100.0,0.956386292834891,0.9652049300331677,0.9353957929975344,0.2927371611982882,0.9836034677723332,0.9306348074179744,0.0014779078261165,0.0693651925820256,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test03,GradientBoosting,window_100,100.0,0.7966997757129125,0.9597628266647094,0.9249902867151728,0.0277320548674923,0.9995979899497488,0.6622719403382608,2.5368477130317865e-05,0.3377280596617392,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test04,GradientBoosting,window_100,100.0,0.6678067550235144,0.9024154739312792,0.784533638387578,0.0946445182724252,0.9364508393285372,0.518936877076412,0.0004055243123302,0.481063122923588,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test01,transformer,old_window100_deep,100.0,0.9640943193997856,0.9968966598253644,0.98438087210754,,1.0,0.9306777030522504,0.0,0.0693222969477496,,,,0.6055496573451536,0.9715468184169684,0.9736161407139162,0.9741334712881532,42.0,1.0,15.0,0.2,0.9976500298130546,0.9814397915078557,0.9850511408339888,3.630488845323023e-05,2.597585080366116e-07,0.9812304483837332,0.0003812013287589,2.0429632741070241e-07,0.9743855109961188,0.0008894697671041,1.813609173950681e-07,granularity,,,,,,,,,,,
ctt_test02,transformer,old_window100_deep,100.0,0.160038811123953,0.1151742375223511,0.0488543960236108,,0.0869794493989918,1.0,1.0,0.0,,,,0.6055488467219846,0.0,0.0005349500713266,0.0005349500713266,42.0,1.0,15.0,0.2,0.0869794493989918,0.0800194055619765,0.0,0.0,1.000000000001,0.0010640184429863,0.0004756484957616,0.9999972581863404,0.0010640184429863,0.0004756484957616,0.9999972581863404,granularity,,,,,,,,,,,
ctt_test03,transformer,old_window100_deep,100.0,0.0262846628991983,0.6187847176131567,0.2707812715770379,,1.0,0.0133173525103209,0.0,0.986682647489679,,,,0.6055492734912412,0.0753762152084165,0.0904248235450792,0.1001464908776135,42.0,1.0,15.0,0.2,0.9141950502044078,0.4907023762749921,0.1400643405097748,8.878966995611254e-05,2.323068315490673e-07,0.1650863116946267,0.000482001065476,1.9359180214451047e-07,0.1803573569972418,0.0009893706080823,1.7530476270621878e-07,granularity,,,,,,,,,,,
ctt_test04,transformer,old_window100_deep,100.0,0.022388966522875,0.6453118473827439,0.1732558303780162,,0.0113239146634707,0.9794019933554816,0.9846818929568844,0.0205980066445182,,,,0.6055499100688475,0.0,0.0584717607973421,0.0584717607973421,42.0,1.0,15.0,0.2,0.0262934947049924,0.0262779622560731,0.0,0.0,1.000000000001,0.1090458488228004,0.0001606794445082,0.9999998807907104,0.1090458488228004,0.0001606794445082,0.9999998807907104,granularity,,,,,,,,,,,
ROAD,transformer,,,0.8279109589041096,0.9335419178297376,0.7794058319471616,,0.9989669421487604,0.7068713450292398,3.725574204124211e-05,0.2931286549707602,,,,1.0,0.7068713450292398,0.7083333333333334,0.7090643274853801,42.0,1.0,20.0,0.2,0.9857494815576312,0.9102389696430576,0.8279109589041096,3.725574204124211e-05,1.0,0.8252075793059399,0.0004284410334742,0.9999943971633912,0.8206429780033841,0.0009686492930722,0.9696332216262816,cross_dataset,window100_existing,,,,,,,,,,
ROAD,concat_fusion,,,0.7885764888200133,0.8848564756580024,0.7538768220527791,,1.0,0.6509502923976608,0.0,0.3490497076023391,,,,0.999992847442627,0.706140350877193,0.70796783625731,0.7083333333333334,42.0,1.0,20.0,0.2,0.9830730782183308,0.8898800502463634,0.8272318561335903,5.588361306186316e-05,0.9883409142494202,0.8265414977597612,0.0002607901942886,0.3679612874984741,0.8201438848920864,0.0009686492930722,0.0029075576458126,cross_dataset,window100_existing,,,,,,,,,,
ROAD,cmf_can,,,0.7893805309734513,0.943067350483829,0.805957074624345,,1.0,0.652046783625731,0.0,0.347953216374269,,,,0.999998927116394,0.6827485380116959,0.7076023391812866,0.7083333333333334,42.0,1.0,20.0,0.2,0.9831262517946082,0.8902957973466197,0.810763888888889,7.451148408248421e-05,0.9999946355819702,0.8248828291435877,0.0004098131624536,0.971481204032898,0.8201438848920864,0.0009686492930722,0.0160623174160718,cross_dataset,window100_existing,,,,,,,,,,
ROAD,can_transformer_plus_sameid,,,0.822871883061049,0.939066654335234,0.8078131371418161,,0.9989561586638832,0.6995614035087719,3.725574204124211e-05,0.300438596491228,,,,,0.7013888888888888,0.706140350877193,0.7083333333333334,,,,,,0.9076276853790816,,,,,,,,,,cross_dataset,can_transformer_plus,CAN-Transformer+ same-ID,False,True,True,f1,,,,,
