dataset,model,granularity,fpr_budget,threshold_type,recall_at_fpr,precision_at_fpr,f1_at_fpr,actual_fpr,threshold,num_positive,num_negative
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",GradientBoosting,unknown,0.0001,best_test_upper_bound,0.10204081632653061,0.5555555555555556,0.1724137931034483,8.007847690736923e-05,0.0924830392586446,49,49951
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",GradientBoosting,unknown,0.0005,best_test_upper_bound,0.30612244897959184,0.38461538461538464,0.3409090909090909,0.0004804708614442153,0.007766750546821,49,49951
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",GradientBoosting,unknown,0.001,best_test_upper_bound,0.30612244897959184,0.234375,0.26548672566371684,0.000980961342115273,0.007766750546821,49,49951
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",GradientBoosting,unknown,0.005,best_test_upper_bound,0.30612244897959184,0.056818181818181816,0.09584664536741215,0.004984885187483734,0.007766750546821,49,49951
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",GradientBoosting,unknown,0.01,best_test_upper_bound,0.30612244897959184,0.029182879377431907,0.05328596802841918,0.00998978999419431,0.007766750546821,49,49951
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",RandomForest,unknown,0.0001,best_test_upper_bound,0.061224489795918366,0.42857142857142855,0.10714285714285714,8.007847690736923e-05,0.1428571428571428,49,49951
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",RandomForest,unknown,0.0005,best_test_upper_bound,0.061224489795918366,0.1111111111111111,0.07894736842105263,0.0004804708614442153,0.1100110542833072,49,49951
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",RandomForest,unknown,0.001,best_test_upper_bound,0.22448979591836735,0.18333333333333332,0.2018348623853211,0.000980961342115273,0.0571428571428571,49,49951
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",RandomForest,unknown,0.005,best_test_upper_bound,0.32653061224489793,0.06037735849056604,0.1019108280254777,0.004984885187483734,0.05286819714045,49,49951
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",RandomForest,unknown,0.01,best_test_upper_bound,0.3469387755102041,0.03294573643410853,0.060176991150442484,0.00998978999419431,0.0285714285714285,49,49951
