dataset,model,seed,granularity,threshold,train_protocol,test_protocol,precision,recall,f1,auroc,aupr,fpr,fnr,negative_protocol,negative_cap_multiplier,fit_time,inference_time,recall_at_fpr_5em03,recall_at_fpr_1em02,num_train_pos,num_train_neg,num_test_pos,num_test_neg
ctt_test04,IsolationForest,2024,sample,-0.1183889713743407,all positives + capped negative sampling,full official test folder,0.0010799578206869,1.0,0.0021575855399962,0.793932524413504,0.0674212697212884,0.9976412035124722,0.0,A_capped_current,1,,,,,,,,
ctt_test04,BIRCH,2024,sample,0.7852981090545654,all positives + capped negative sampling,full official test folder,0.001117408365689,1.0,0.0022323223157476,0.7689068306116249,0.3034625271628146,0.9641685706174874,0.0,A_capped_current,1,,,,,,,,
ctt_test01,GradientBoosting,2026,sample,0.0697027841914411,all positives + capped negative sampling,full official test folder,0.887106238639779,0.9795037926675096,0.9310181673438428,0.9892464340947058,0.9108929246090144,0.0013987328416725,0.0204962073324905,A_capped_current,1,,,,,,,,
ctt_test01,RandomForest,2026,sample,0.0166840153671862,all positives + capped negative sampling,full official test folder,0.8255931425072708,0.4261694058154235,0.5621554015321278,0.7127847637235039,0.4302130918351788,0.0010102156438905,0.5738305941845765,A_capped_current,1,,,,,,,,
ctt_test01,MLP,2026,sample,0.0385443121194839,all positives + capped negative sampling,full official test folder,0.2487515096125599,0.3612989886219975,0.2946433749379796,0.602492547802963,0.3518504920200629,0.0122438774406451,0.6387010113780025,A_capped_current,1,,,,,,,,
ctt_test01,LogisticRegression,2026,sample,0.452694684267044,all positives + capped negative sampling,full official test folder,0.8454694719156898,0.3499051833122629,0.4949647363891404,0.6019721405391285,0.3560293900911114,0.0007176308075873,0.650094816687737,A_capped_current,1,,,,,,,,
ctt_test01,GaussianNB,2026,sample,4.4947640054360244e-10,all positives + capped negative sampling,full official test folder,0.977307561307902,0.3627528445006321,0.529112115065462,0.6566684396017234,0.361919235360676,9.451376833309986e-05,0.6372471554993678,A_capped_current,1,,,,,,,,
ctt_test01,IsolationForest,2026,sample,-0.1192582655761292,all positives + capped negative sampling,full official test folder,0.011939074003805,0.999905183312263,0.0235964021024717,0.5238855397488779,0.0141927474217834,0.9285520242437568,9.481668773704172e-05,A_capped_current,1,,,,,,,,
ctt_test01,BIRCH,2026,sample,1.04443097114563,all positives + capped negative sampling,full official test folder,0.0167468195333462,0.9759481668773704,0.0329285995161322,0.7473350984596452,0.0432369273032733,0.6429750380803597,0.0240518331226295,A_capped_current,1,,,,,,,,
ctt_test02,GradientBoosting,2026,sample,0.0697027841914411,all positives + capped negative sampling,full official test folder,0.9331844873642302,0.998020308588206,0.9645140401483489,0.9980150903069176,0.9338119167670051,0.0018668788541873,0.001979691411794,A_capped_current,1,,,,,,,,
ctt_test02,RandomForest,2026,sample,0.0166840153671862,all positives + capped negative sampling,full official test folder,0.336804935015314,0.9987329974964518,0.5037344041390285,0.9980301162187156,0.9135168693243598,0.051378237517406,0.0012670025035482,A_capped_current,1,,,,,,,,
ctt_test02,MLP,2026,sample,0.0385443121194839,all positives + capped negative sampling,full official test folder,0.0236767897639627,0.0532932928054968,0.0327871309855064,0.9169959557426366,0.1548034186524394,0.0574130097473642,0.9467067071945032,A_capped_current,1,,,,,,,,
ctt_test02,LogisticRegression,2026,sample,0.452694684267044,all positives + capped negative sampling,full official test folder,0.2243095522496108,0.0377481467042706,0.0646214167283648,0.7247122053695197,0.0700179458543487,0.0034103839267953,0.9622518532957294,A_capped_current,1,,,,,,,,
ctt_test02,GaussianNB,2026,sample,4.4947640054360244e-10,all positives + capped negative sampling,full official test folder,0.2813323296951449,0.0364263219770112,0.0645011676005673,0.5051306123668076,0.0589180250434726,0.0024310324249055,0.9635736780229888,A_capped_current,1,,,,,,,,
ctt_test02,IsolationForest,2026,sample,-0.1192582655761292,all positives + capped negative sampling,full official test folder,0.0267556113737139,1.0,0.0521168057468264,0.3992498975272271,0.0239514158556041,0.9503290232743188,0.0,A_capped_current,1,,,,,,,,
ctt_test02,BIRCH,2026,sample,1.04443097114563,all positives + capped negative sampling,full official test folder,0.0274506339504434,0.9993786814646062,0.0534335706059832,0.4342872673534515,0.0220576255996846,0.9250310722100656,0.0006213185353938,A_capped_current,1,,,,,,,,
ctt_test03,GradientBoosting,2026,sample,0.0697027841914411,all positives + capped negative sampling,full official test folder,0.8485467606933369,0.6182472989195679,0.715317517639869,0.7906154446334717,0.5910780533166119,0.0002667610816709,0.3817527010804322,A_capped_current,1,,,,,,,,
ctt_test03,RandomForest,2026,sample,0.0166840153671862,all positives + capped negative sampling,full official test folder,0.6234065870681202,0.5189915966386555,0.5664273360934963,0.759286810822629,0.4947693838483408,0.0007579125771233,0.4810084033613445,A_capped_current,1,,,,,,,,
ctt_test03,MLP,2026,sample,0.0385443121194839,all positives + capped negative sampling,full official test folder,0.0844717877248638,0.4424009603841536,0.1418574035152551,0.7077127913826524,0.2119001404740507,0.0115913378103071,0.5575990396158463,A_capped_current,1,,,,,,,,
ctt_test03,LogisticRegression,2026,sample,0.452694684267044,all positives + capped negative sampling,full official test folder,0.629748915472591,0.4600720288115246,0.5317017675296207,0.6898305540154526,0.428595743000971,0.0006539012937564,0.5399279711884754,A_capped_current,1,,,,,,,,
ctt_test03,GaussianNB,2026,sample,4.4947640054360244e-10,all positives + capped negative sampling,full official test folder,0.9000654593061314,0.3961584633853541,0.5501650495148545,0.7027457518993064,0.3777010954558737,0.0001063329637991,0.6038415366146459,A_capped_current,1,,,,,,,,
ctt_test03,IsolationForest,2026,sample,-0.1192582655761292,all positives + capped negative sampling,full official test folder,0.002595218342916,1.0,0.0051770012372597,0.6076562470759072,0.0471041808889991,0.929084039027448,0.0,A_capped_current,1,,,,,,,,
ctt_test03,BIRCH,2026,sample,1.04443097114563,all positives + capped negative sampling,full official test folder,0.0036847333853368,0.9851140456182472,0.0073420046410488,0.9186238920802666,0.3486907383522236,0.6439241042666682,0.0148859543817527,A_capped_current,1,,,,,,,,
ctt_test04,GradientBoosting,2026,sample,0.0697027841914411,all positives + capped negative sampling,full official test folder,0.7728695652173913,0.4679865206402696,0.5829725829725829,0.7226585195540685,0.3694797372324666,0.0001483381695312,0.5320134793597304,A_capped_current,1,,,,,,,,
ctt_test04,RandomForest,2026,sample,0.0166840153671862,all positives + capped negative sampling,full official test folder,0.0369273216606209,0.4209491715810166,0.0678983336824881,0.7062444400578541,0.1331237728792008,0.0118410811315892,0.5790508284189835,A_capped_current,1,,,,,,,,
ctt_test04,MLP,2026,sample,0.0385443121194839,all positives + capped negative sampling,full official test folder,0.0021102946784978,0.0699241786015164,0.0040969445678463,0.4341712858460023,0.0013667117325415,0.0356629493277873,0.9300758213984835,A_capped_current,1,,,,,,,,
ctt_test04,LogisticRegression,2026,sample,0.452694684267044,all positives + capped negative sampling,full official test folder,0.0148579579222631,0.0614293737714125,0.0239283516784029,0.3360733185721196,0.0163164144215172,0.0043930511707622,0.9385706262285874,A_capped_current,1,,,,,,,,
ctt_test04,GaussianNB,2026,sample,4.4947640054360244e-10,all positives + capped negative sampling,full official test folder,0.0105381455074706,0.0401572591968548,0.0166951242648453,0.5203573716274816,0.0016780159676933,0.0040667677748918,0.9598427408031452,A_capped_current,1,,,,,,,,
ctt_test04,IsolationForest,2026,sample,-0.1192582655761292,all positives + capped negative sampling,full official test folder,0.0010851321356351,1.0,0.0021679118005082,0.8039676128793627,0.0780526634500231,0.9928789349273996,0.0,A_capped_current,1,,,,,,,,
ctt_test04,BIRCH,2026,sample,1.04443097114563,all positives + capped negative sampling,full official test folder,0.0011789092692816,0.9428531311429372,0.0023548740896342,0.7816826020596956,0.3071779484503864,0.8615923099190985,0.0571468688570626,A_capped_current,1,,,,,,,,
ctt_test01,GradientBoosting,7,sample,0.0077668122466815,all positives + capped negative sampling,full official test folder,0.8598156745894255,0.9804045512010112,0.916159043083398,0.9897481766305908,0.9117100963025988,0.0017936337086103,0.0195954487989886,A_capped_current,1,,,,,,,,
ctt_test01,RandomForest,7,sample,0.0285714285714285,all positives + capped negative sampling,full official test folder,0.9437417406078912,0.9479772439949432,0.9458547507174166,0.9737006723716785,0.917312348400422,0.0006341111361335,0.0520227560050568,A_capped_current,1,,,,,,,,
ctt_test01,MLP,7,sample,0.0151643399149179,all positives + capped negative sampling,full official test folder,0.2093959001685607,0.3651390644753476,0.2661582942646838,0.6208282972235171,0.3565176808921402,0.0154697582539955,0.6348609355246524,A_capped_current,1,,,,,,,,
ctt_test01,LogisticRegression,7,sample,0.448630541563034,all positives + capped negative sampling,full official test folder,0.8680512179887571,0.3513906447534766,0.5002699784017278,0.6014067338636582,0.3584084467097828,0.0005993556040635,0.6486093552465234,A_capped_current,1,,,,,,,,
ctt_test01,GaussianNB,7,sample,2.4126567410576167e-10,all positives + capped negative sampling,full official test folder,0.9774740248679952,0.3627528445006321,0.5291365082292194,0.6566692573860364,0.3619319893817739,9.380447176024357e-05,0.6372471554993678,A_capped_current,1,,,,,,,,
ctt_test01,IsolationForest,7,sample,-0.1150555693490148,all positives + capped negative sampling,full official test folder,0.0121084991650597,0.9997787610619469,0.0239272115963734,0.4447053332471118,0.0111582119757245,0.9152867597381986,0.000221238938053,A_capped_current,1,,,,,,,,
ctt_test01,BIRCH,7,sample,1.043218731880188,all positives + capped negative sampling,full official test folder,0.017436026232913,0.976406447534766,0.0342602552870593,0.7476411785543513,0.0357010103042375,0.6174166000223429,0.0235935524652338,A_capped_current,1,,,,,,,,
ctt_test02,GradientBoosting,7,sample,0.0077668122466815,all positives + capped negative sampling,full official test folder,0.931625389461236,0.998117770319248,0.9637260293308946,0.9981682653031722,0.9364948365791564,0.001913825343147,0.0018822296807519,A_capped_current,1,,,,,,,,
ctt_test02,RandomForest,7,sample,0.0285714285714285,all positives + capped negative sampling,full official test folder,0.2732228597903747,0.9986172616908392,0.4290556013556838,0.9989373366778214,0.9805278918943082,0.069398527949075,0.0013827383091607,A_capped_current,1,,,,,,,,
ctt_test02,MLP,7,sample,0.0151643399149179,all positives + capped negative sampling,full official test folder,0.2827498481516969,0.932915872252036,0.4339709786831315,0.935832234977277,0.1937327668633328,0.0618269345534115,0.0670841277479639,A_capped_current,1,,,,,,,,
ctt_test02,LogisticRegression,7,sample,0.448630541563034,all positives + capped negative sampling,full official test folder,0.3698523698523698,0.0376933244805594,0.0684142444913708,0.7125989986745014,0.068287647583742,0.0016778197732245,0.9623066755194406,A_capped_current,1,,,,,,,,
ctt_test02,GaussianNB,7,sample,2.4126567410576167e-10,all positives + capped negative sampling,full official test folder,0.2816238108693604,0.0364263219770112,0.0645088214195176,0.5053815853622803,0.0590259140593091,0.0024275313308136,0.9635736780229888,A_capped_current,1,,,,,,,,
ctt_test02,IsolationForest,7,sample,-0.1150555693490148,all positives + capped negative sampling,full official test folder,0.0267803892909111,1.0,0.0521638114054856,0.2268425456899939,0.0195148319817599,0.949425581857967,0.0,A_capped_current,1,,,,,,,,
ctt_test02,BIRCH,7,sample,1.043218731880188,all positives + capped negative sampling,full official test folder,0.0273876552177429,0.9995370567775496,0.0533144756740581,0.4775690188835484,0.0236452844770078,0.9273651879848815,0.0004629432224503,A_capped_current,1,,,,,,,,
ctt_test03,GradientBoosting,7,sample,0.0077668122466815,all positives + capped negative sampling,full official test folder,0.7190327356473104,0.6296758703481392,0.6713941938456812,0.7959460319363308,0.5969476747210563,0.0005948145267544,0.3703241296518607,A_capped_current,1,,,,,,,,
ctt_test03,RandomForest,7,sample,0.0285714285714285,all positives + capped negative sampling,full official test folder,0.7866797257590598,0.5785354141656662,0.6667404537908135,0.7928232657770083,0.5527978718871768,0.0003792464986156,0.4214645858343337,A_capped_current,1,,,,,,,,
ctt_test03,MLP,7,sample,0.0151643399149179,all positives + capped negative sampling,full official test folder,0.0866705302810779,0.5745018007202881,0.1506184496270418,0.7027241072070918,0.2444864734963839,0.0146354091091131,0.4254981992797119,A_capped_current,1,,,,,,,,
ctt_test03,LogisticRegression,7,sample,0.448630541563034,all positives + capped negative sampling,full official test folder,0.6810137335409883,0.4619447779111644,0.5504849646648164,0.6941817065893855,0.4324251101709128,0.0005230746013964,0.5380552220888355,A_capped_current,1,,,,,,,,
ctt_test03,GaussianNB,7,sample,2.4126567410576167e-10,all positives + capped negative sampling,full official test folder,0.9008300567933596,0.396062424969988,0.5502151362529603,0.7027390135270425,0.3777602884457365,0.0001054042916262,0.603937575030012,A_capped_current,1,,,,,,,,
ctt_test03,IsolationForest,7,sample,-0.1150555693490148,all positives + capped negative sampling,full official test folder,0.0026318260500101,1.0,0.0052498354463343,0.6535439717975193,0.0610603099052868,0.9161272048708856,0.0,A_capped_current,1,,,,,,,,
ctt_test03,BIRCH,7,sample,1.043218731880188,all positives + capped negative sampling,full official test folder,0.0038224203901988,0.989627851140456,0.0076154263284455,0.9117435643398164,0.3327866631829849,0.6234873961773532,0.0103721488595438,A_capped_current,1,,,,,,,,
ctt_test04,GradientBoosting,7,sample,0.0077668122466815,all positives + capped negative sampling,full official test folder,0.706816163410302,0.4469952260600954,0.5476518148976433,0.6985227914609079,0.3319792997758654,0.000199980145856,0.5530047739399045,A_capped_current,1,,,,,,,,
ctt_test04,RandomForest,7,sample,0.0285714285714285,all positives + capped negative sampling,full official test folder,0.0159988334791484,0.3851446222971075,0.0307215016911945,0.6871778607026596,0.0481333242376962,0.0255494513191458,0.6148553777028924,A_capped_current,1,,,,,,,,
ctt_test04,MLP,7,sample,0.0151643399149179,all positives + capped negative sampling,full official test folder,0.0022959738157692,0.0763830384723392,0.0044579475822395,0.4766925476379154,0.0017747409946736,0.0357999292913819,0.9236169615276608,A_capped_current,1,,,,,,,,
ctt_test04,LogisticRegression,7,sample,0.448630541563034,all positives + capped negative sampling,full official test folder,0.0132866090068595,0.0625526537489469,0.0219177408245596,0.3375287507692324,0.0223403156039917,0.0050104075240996,0.9374473462510532,A_capped_current,1,,,,,,,,
