setting,model,granularity,source,num_pos,num_neg,positive_rate,precision,recall,f1,accuracy,aupr,auroc,detection_rate_at_fpr_1e_4,detection_rate_at_fpr_1e_3,fnr,fpr,tp,fp,tn,fn
ctt_test03,transformer / old_window100_deep,old_window100_deep,final_grain_can_b1_granularity_full_matrix,704,192168,0.0036489260522443,1.0,0.01278409090909091,0.02524544179523142,0.9141950502044078,0.2707812715770379,0.6187847176131567,0.0753762152084165,0.1001464908776135,0.9872159090909091,0.0,9.0,0.0,192168.0,695.0
ctt_test04,GradientBoosting / sample,sample,final_grain_can_a1_negative_stability,638,238087,0.0026724392684081,0.707196029776675,0.44670846394984326,0.5475504322766571,0.9980270185359723,0.3319792997758654,0.6985227914609079,,,0.5532915360501567,0.000495617148353333,285.0,118.0,237969.0,353.0
ctt_test04,GradientBoosting / sample,sample,final_grain_can_b1_granularity_full_matrix,638,238087,0.0026724392684081,,,,,0.2422355206604559,0.5925827110506519,,,,,,,,
ctt_test04,GradientBoosting / window_10,window_10,final_grain_can_b1_granularity_full_matrix,638,238087,0.0026724392684081,0.8892307692307693,0.45297805642633227,0.6002076843198338,0.9983872656822704,0.6184722776882597,0.8452561599829853,,,0.5470219435736677,0.00015120523170101687,289.0,36.0,238051.0,349.0
ctt_test04,GradientBoosting / window_100,window_100,final_grain_can_b1_granularity_full_matrix,638,238087,0.0026724392684081,0.9376770538243626,0.5188087774294671,0.6680121089808275,0.9986218452193947,0.784533638387578,0.9024154739312792,,,0.48119122257053293,9.24031971506214e-05,331.0,22.0,238065.0,307.0
ctt_test04,GradientBoosting / window_20,window_20,final_grain_can_b1_granularity_full_matrix,638,238087,0.0026724392684081,0.9422492401215805,0.48589341692789967,0.6411582213029989,0.9985464446538904,0.7227739499342077,0.8947361684329831,,,0.5141065830721003,7.980276117553667e-05,310.0,19.0,238068.0,328.0
ctt_test04,GradientBoosting / window_5,window_5,final_grain_can_b1_granularity_full_matrix,638,238087,0.0026724392684081,0.8731343283582089,0.3667711598746082,0.5165562913907286,0.9981652529060635,0.5140487763254977,0.7874765482740954,,,0.6332288401253918,0.00014280494105096037,234.0,34.0,238053.0,404.0
ctt_test04,GradientBoosting / window_50,window_50,final_grain_can_b1_granularity_full_matrix,638,238087,0.0026724392684081,0.9898648648648649,0.4592476489028213,0.6274089935760172,0.9985422557335847,0.8235315589679248,0.920239716922698,,,0.5407523510971787,1.2600435975084738e-05,293.0,3.0,238084.0,345.0
ctt_test04,MLP / sample,sample,final_grain_can_a1_negative_stability,638,238087,0.0026724392684081,0.0022959422734514104,0.0768025078369906,0.0044585987261146496,0.9083380458686774,0.0017747409946736,0.4766925476379154,,,0.9231974921630094,0.08943369440582644,49.0,21293.0,216794.0,589.0
ctt_test04,transformer / old_window100_deep,old_window100_deep,final_grain_can_b1_granularity_full_matrix,638,238087,0.0026724392684081,0.011323899769898357,0.9796238244514106,0.022388995361000162,0.0262934947049924,0.1732558303780162,0.6453118473827439,0.0,0.0584717607973421,0.02037617554858934,0.22919353009614132,625.0,54568.0,183519.0,13.0
