dataset,model,Model,seed,precision,recall,f1,macro_f1,auroc,aupr,fpr,fnr,recall_at_fpr_1em04,recall_at_fpr_5em04,recall_at_fpr_1em03,selection_metric,source
ctt_test02,frame_only,Frame-only,42,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.8557927779459426,0.3101152520683493,1.0,0.0,0.0005349500713266,0.00160485021398,0.0051711840228245,f1,ctt_unknown_ablation.csv
ctt_test02,reliable_cmf_can,Reliable-CMF-CAN,42,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.9520923405470688,0.8327280855103231,1.0,0.0,0.1317760342368045,0.3257845934379458,0.4539942938659058,f1,reliable_cmf_main_raw.csv
ctt_test02,stats_only,Stats-only,42,0.0865799492385786,0.9732524964336662,0.1590141009206386,0.1008164597668099,0.8855980415316163,0.8547503891951407,0.9781711315337964,0.0267475035663338,0.8182952924393724,0.8206134094151213,0.8216833095577746,f1,ctt_unknown_ablation.csv
ctt_test02,transformer,Transformer,42,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.1151742375223511,0.0488543960236108,1.0,0.0,0.0,0.0005349500713266,0.0005349500713266,f1,ctt_generalization_15ep.csv
ctt_test03,cmf_can,CMF-CAN,42,1.0,0.0442136103342655,0.0846830761382476,0.5205736600201955,0.7792276774065259,0.3044429685189416,0.0,0.9557863896657344,0.0832334531895059,0.0849647090158476,0.0869623118923958,f1,ctt_generalization_15ep.csv
ctt_test03,wo_context,CMF-CAN -Ctx,42,1.0,0.0103875349580503,0.0205614867536575,0.4877771547948789,0.5839250144640692,0.1574242486014133,0.0,0.9896124650419496,0.0326275136502863,0.0403515781062724,0.043281395658543,f1,ctt_unknown_ablation.csv
ctt_test03,concat_fusion,Concat-Fusion,42,1.0,0.0284991343720868,0.0554188786740903,0.5055994927403706,0.7924485771694834,0.3281309018456552,0.0,0.9715008656279132,0.0797709415368224,0.0846983619656412,0.0868291383672925,f1,ctt_generalization_15ep.csv
ctt_test03,frame_only,Frame-only,42,0.9680851063829788,0.012118790784392,0.0239379192424043,0.4894934764028559,0.5266037655462034,0.1418254197429395,3.80527156954768e-05,0.987881209215608,0.0346251165268344,0.0380876281795179,0.0399520575309628,f1,ctt_unknown_ablation.csv
ctt_test03,stats_only,Stats-only,42,0.8802816901408451,0.0499400719137035,0.0945179584120983,0.5254544040386835,0.858689863562965,0.3875903890879949,0.0006468961668231,0.9500599280862964,0.0427487015581302,0.0466107337861233,0.0516713277400452,f1,ctt_unknown_ablation.csv
ctt_test03,transformer,Transformer,42,1.0,0.0133173525103209,0.0262846628991983,0.4907023762749921,0.6187847176131567,0.2707812715770379,0.0,0.986682647489679,0.0753762152084165,0.0904248235450792,0.1001464908776135,f1,ctt_generalization_15ep.csv
ctt_test04,cmf_can,CMF-CAN,42,0.0143988105330429,0.7335548172757476,0.028243239786129,0.3101446461735255,0.6845533646532422,0.1655882870835184,0.5782088067638395,0.2664451827242525,0.0033222591362126,0.015282392026578,0.1275747508305647,f1,ctt_generalization_15ep.csv
ctt_test04,wo_context,CMF-CAN -Ctx,42,0.5912408759124088,0.107641196013289,0.1821247892074199,0.5882922429402863,0.6870154892595032,0.1235543072416896,0.000856957037377,0.892358803986711,0.0026578073089701,0.015282392026578,0.1196013289036544,f1,ctt_unknown_ablation.csv
ctt_test04,concat_fusion,Concat-Fusion,42,0.0120669999123037,0.9142857142857144,0.0238196217596399,0.133100151120978,0.7110974843282889,0.2231220253826226,0.861961054363212,0.0857142857142857,0.1023255813953488,0.1242524916943521,0.1654485049833887,f1,ctt_generalization_15ep.csv
ctt_test04,frame_only,Frame-only,42,0.0184137757667169,0.7787375415282392,0.0359768544809908,0.3603725032868098,0.7530913914227273,0.170763883819797,0.4780289988140326,0.2212624584717608,0.0445182724252491,0.0624584717607973,0.1302325581395348,f1,ctt_unknown_ablation.csv
ctt_test04,stats_only,Stats-only,42,0.0155324035886958,0.8132890365448505,0.0304826418289585,0.3037709691338478,0.7561293691952772,0.3084637975823677,0.5935881250239107,0.1867109634551495,0.1534883720930232,0.1787375415282392,0.2019933554817276,f1,ctt_unknown_ablation.csv
ctt_test04,transformer,Transformer,42,0.0113239146634707,0.9794019933554816,0.022388966522875,0.0262779622560731,0.6453118473827439,0.1732558303780162,0.9846818929568844,0.0205980066445182,0.0,0.0584717607973421,0.0584717607973421,f1,ctt_generalization_15ep.csv
