Dataset,Model,bin_low,bin_high,count,mean_score,empirical_attack_rate
ctt_test04,Concat-Fusion,0.6000000000000001,0.7000000000000001,6,0.6585035522778829,1.0
ctt_test04,Concat-Fusion,0.7000000000000001,0.8,11,0.7556053616783835,1.0
ctt_test04,Concat-Fusion,0.8,0.9,11,0.8643930391831831,1.0
ctt_test04,Concat-Fusion,0.9,1.0,111,0.982654840022594,0.990990990990991
ctt_test04,Transformer,0.0,0.1,866,0.030452713995941013,0.010392609699769052
ctt_test04,Transformer,0.1,0.2,281,0.14597305316093548,0.0035587188612099642
ctt_test04,Transformer,0.2,0.30000000000000004,199,0.24913970841534772,0.020100502512562814
ctt_test04,Transformer,0.30000000000000004,0.4,209,0.35198810953272586,0.028708133971291867
ctt_test04,Transformer,0.4,0.5,233,0.45096001169712246,0.02575107296137339
ctt_test04,Transformer,0.5,0.6000000000000001,236,0.553798380039506,0.0211864406779661
ctt_test04,Transformer,0.6000000000000001,0.7000000000000001,305,0.6540821831734454,0.01639344262295082
ctt_test04,Transformer,0.7000000000000001,0.8,419,0.7516659374453287,0.007159904534606206
ctt_test04,Transformer,0.8,0.9,782,0.8568605732582414,0.016624040920716114
ctt_test04,Transformer,0.9,1.0,128670,0.9987073136819422,0.011292453563379186
road,CMF-CAN,0.0,0.1,54444,1.4861719728881832e-05,0.014675630005142899
road,CMF-CAN,0.1,0.2,2,0.10475882887840265,0.0
road,CMF-CAN,0.2,0.30000000000000004,0,,
road,CMF-CAN,0.30000000000000004,0.4,4,0.34008779376745224,0.0
road,CMF-CAN,0.4,0.5,1,0.4640541076660156,0.0
road,CMF-CAN,0.5,0.6000000000000001,5,0.5414559125900269,0.2
road,CMF-CAN,0.6000000000000001,0.7000000000000001,0,,
road,CMF-CAN,0.7000000000000001,0.8,1,0.7778083086013794,0.0
road,CMF-CAN,0.8,0.9,1,0.8233940601348877,0.0
road,CMF-CAN,0.9,1.0,1961,0.999848939003475,0.9872514023457419
road,Concat-Fusion,0.0,0.1,54459,1.7893553874265164e-05,0.014671587799996328
road,Concat-Fusion,0.1,0.2,4,0.11691843904554841,0.0
road,Concat-Fusion,0.2,0.30000000000000004,3,0.23893275360266364,0.0
road,Concat-Fusion,0.30000000000000004,0.4,3,0.3239307403564453,0.3333333333333333
road,Concat-Fusion,0.4,0.5,2,0.4223843961954117,0.0
road,Concat-Fusion,0.5,0.6000000000000001,2,0.5670178532600403,0.0
road,Concat-Fusion,0.6000000000000001,0.7000000000000001,2,0.6458921134471893,0.5
road,Concat-Fusion,0.7000000000000001,0.8,1,0.7373415231704712,1.0
road,Concat-Fusion,0.8,0.9,2,0.8167351484298706,0.5
road,Concat-Fusion,0.9,1.0,1941,0.9998414601510729,0.9958784131890778
road,Transformer,0.0,0.1,54410,5.352555165216505e-06,0.014556147766954604
road,Transformer,0.1,0.2,2,0.11556506529450414,0.5
road,Transformer,0.2,0.30000000000000004,3,0.22072820365428922,0.0
road,Transformer,0.30000000000000004,0.4,1,0.3314918279647827,0.0
road,Transformer,0.4,0.5,0,,
road,Transformer,0.5,0.6000000000000001,2,0.5585263669490814,0.5
road,Transformer,0.6000000000000001,0.7000000000000001,1,0.6845460534095764,0.0
road,Transformer,0.7000000000000001,0.8,0,,
road,Transformer,0.8,0.9,3,0.8618026773134867,0.0
road,Transformer,0.9,1.0,1997,0.9998169008886808,0.972458688032048
