dataset,model,seed,label_ratio,epochs,aux_loss_weight,loss,focal_gamma,focal_alpha,sampler,selection_metric,class_weights,supcon_weight,supcon_temperature,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test03,frame_only,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.9140560760651789,0.9680851063829787,0.012118790784392063,0.023937919242404314,0.4894934764028559,0.1418254197429395,0.5266037655462034,3.80527156954768e-05,0.987881209215608,1.7847983235697057e-06,0.03462511652683446,0.06687242798353908,8.878966995611254e-05,5.82982409014221e-07,0.03808762817951791,0.07302438401634112,0.0004820010654760395,5.083689984530793e-07,0.03995205753096284,0.07608419984783159,0.0009766863695172378,4.929170813738892e-07
ctt_test03,stats_only,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.9167892341366811,0.8802816901408451,0.04994007191370355,0.0945179584120983,0.5254544040386835,0.3875903890879949,0.858689863562965,0.0006468961668231056,0.9500599280862965,4.31519761150441e-07,0.042748701558130243,0.08195047230022977,5.073695426063573e-05,3.5040711736655794e-06,0.04661073378612332,0.08863003291972651,0.0004946853040411984,5.720211788684537e-07,0.05167132774004528,0.09730407523510971,0.0009893706080823968,3.451666543696774e-07
ctt_test03,wo_stats,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.9153531680313155,0.9807692307692307,0.027167399121054734,0.0528702863807179,0.5042835705468995,0.21285711906426752,0.6334580885375798,5.073695426063573e-05,0.9728326008789453,1.9337933917996233e-05,0.0392861899054468,0.07553450262450391,8.878966995611254e-05,1.5407162209157832e-05,0.052869889465974165,0.09993706733794841,0.0004946853040411984,1.0875288353418e-05,0.05966173924623785,0.11151213441194772,0.0009893706080823968,9.62733247433789e-06
ctt_test03,wo_context,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.9139402642824881,1.0,0.010387534958050339,0.02056148675365757,0.4877771547948789,0.15742424860141335,0.5839250144640692,0.0,0.9896124650419497,3.9559183933306904e-05,0.03262751365028632,0.06313619378946012,8.878966995611254e-05,5.295291430229554e-06,0.040351578106272476,0.07721712538226301,0.0004566325883457216,2.755127979980898e-06,0.04328139565854308,0.08220564057164538,0.0009259494152566021,2.1533292056119535e-06
ctt_test03,wo_xattn,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.913627572469223,1.0,0.0067918497802636835,0.013492063492063493,0.4841643707918975,0.20721983792132748,0.5991451336725331,0.0,0.9932081502197363,2.3311186566843956e-07,0.03249434012518311,0.06288659793814431,8.878966995611254e-05,1.32390212570499e-07,0.0604607803968571,0.113471632091977,0.0004946853040411984,9.889512853078486e-08,0.07178053003062991,0.13266059561900073,0.0009893706080823968,8.854527067114759e-08
ctt_test03,wo_gate,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.9143456055219058,1.0,0.015048608336662671,0.029651010233534506,0.49242315947365395,0.2345210293021623,0.6749814806569618,0.0,0.9849513916633373,1.3733331388721436e-06,0.052070848315354905,0.0988997091185026,8.878966995611254e-05,3.90544727224551e-07,0.0703156212544946,0.1307901907356948,0.00046931682691088054,2.355961328248668e-07,0.07657477693434545,0.1409141036637667,0.0009766863695172378,1.910530329496396e-07
ctt_test04,cmf_can,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.561732223903177,0.017096796276013144,0.6637873754152824,0.033335001751839434,0.37498171909633127,0.17310223452054538,0.6828002530300887,0.43944297792570486,0.3362126245847176,8.834164123072749e-07,0.04784053156146179,0.09056603773584905,9.946822755269903e-05,0.9948807954788208,0.061794019933554815,0.11191335740072203,0.0004896897356440568,0.9714956879615784,0.13554817275747508,0.22198041349292705,0.0009870308734075519,0.004645271226763725
ctt_test04,concat_fusion,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.011860816944024206,0.011374902560299093,0.998671096345515,0.022493602119157723,0.011743887369057151,0.21373827707119805,0.6847415840613922,0.9995026588622365,0.00132890365448505,4.341912917880295e-06,0.12225913621262459,0.21621621621621623,9.946822755269903e-05,0.08845989406108856,0.13754152823920265,0.23297692740574003,0.0004973411377634952,0.019091496244072914,0.1521594684385382,0.2458400429414922,0.0009870308734075519,0.006957654841244221
ctt_test04,frame_only,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.524894099848714,0.018413775766716944,0.7787375415282392,0.035976854480990896,0.3603725032868098,0.17076388381979707,0.7530913914227273,0.47802899881403266,0.2212624584717608,1.7847983235697057e-06,0.04451827242524917,0.08454258675078863,9.946822755269903e-05,0.9982574582099915,0.06245847176079734,0.11338962605548854,0.0004514327250468648,0.9675120115280151,0.13023255813953488,0.21409066084107048,0.0009946822755269903,0.006870180368423462
ctt_test04,stats_only,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.4110438729198185,0.015532403588695861,0.8132890365448505,0.03048264182895851,0.3037709691338478,0.3084637975823677,0.7561293691952772,0.5935881250239107,0.1867109634551495,4.31519761150441e-07,0.15348837209302327,0.2641509433962264,9.946822755269903e-05,1.9930448615923524e-06,0.1787375415282392,0.29255029907558455,0.0004973411377634952,1.5551343039987842e-06,0.2019933554817276,0.3135636926250645,0.0009946822755269903,1.3824794677930186e-06
