dataset,method,score_source,threshold_policy,threshold,precision,recall,f1,aupr,auroc,fpr,attack_events,event_recall,median_detection_delay_s,p90_detection_delay_s,false_alarm_windows,false_alarm_events,test_duration_h,false_alarm_events_per_hour,false_alarm_windows_per_hour,calibration,val_threshold,val_ece,test_ece,accuracy,macro_f1,fnr,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test03,supervised:transformer,transformer,saved_val_threshold,0.6055492734912412,1.0,0.013317352510320948,0.026284662899198317,0.2707853495448759,0.6187933156654002,0.0,2623,0.02211208539839878,0.0,0.16061997413635254,0,0,1.654551300406456,0.0,0.0,,,,,,,,,,,,,,,,,,,
ctt_test03,normality:stats_robust_mean,stats_robust_mean,val_f1,0.21916452451046564,0.9137931034482759,0.0070581968304701025,0.01400819347165323,0.2053990757065051,0.7226792742964174,6.342119282579467e-05,2623,0.013343499809378575,0.05473589897155762,0.20713667869567876,5,5,1.654551300406456,3.0219673447246413,3.0219673447246413,stats_robust_mean,0.21916452451046564,0.01729025136890764,0.07388705902481822,0.9135928289344157,0.48441239459141655,0.9929418031695298,0.025169796244506593,0.04905905256327061,8.878966995611254e-05,0.16519933462157044,0.04541217206019443,0.0864604462474645,0.0004820010654760395,0.15055649070635255,0.048208816087361835,0.09108063907409737,0.0009893706080823968,0.15055624352832372
ctt_test03,normality:stats_robust_mean,stats_robust_mean,val_fpr_1em04,0.17571263830440606,0.9731182795698925,0.024104408043680917,0.04704353476283301,0.2053990757065051,0.7226792742964174,6.342119282579467e-05,2623,0.03393061380099123,0.0,0.10952510833740235,5,5,1.654551300406456,3.0219673447246413,3.0219673447246413,stats_robust_mean,0.17571263830440606,0.01729025136890764,0.07388705902481822,0.9150752197528577,0.5013004205853753,0.975895591956319,0.025169796244506593,0.04905905256327061,8.878966995611254e-05,0.16519933462157044,0.04541217206019443,0.0864604462474645,0.0004820010654760395,0.15055649070635255,0.048208816087361835,0.09108063907409737,0.0009893706080823968,0.15055624352832372
ctt_test03,normality:stats_robust_mean,stats_robust_mean,val_fpr_1em03,0.16519789777464586,0.9234234234234234,0.027300572646157945,0.05303324278877247,0.2053990757065051,0.7226792742964174,0.00021563205560770187,2623,0.03812428516965307,0.0,0.10922451019287112,17,17,1.654551300406456,10.27468897206378,10.27468897206378,stats_robust_mean,0.16519789777464586,0.01729025136890764,0.07388705902481822,0.9152141938920866,0.5043267970095242,0.9726994273538421,0.025169796244506593,0.04905905256327061,8.878966995611254e-05,0.16519933462157044,0.04541217206019443,0.0864604462474645,0.0004820010654760395,0.15055649070635255,0.048208816087361835,0.09108063907409737,0.0009893706080823968,0.15055624352832372
ctt_test03,normality:stats_robust_mean_rollmean9,stats_robust_mean_rollmean9,val_f1,0.2945172296894231,0.0,0.0,0.0,0.1712726150777081,0.5938018521461301,0.0,2623,0.0,,,0,0,1.654551300406456,0.0,0.0,stats_robust_mean_rollmean9,0.2945172296894231,0.01975062741002664,0.06523541680104995,0.9130369323775,0.47727093864455006,1.0,0.03662271940338261,0.07059427544602746,8.878966995611254e-05,0.13099579468657907,0.039419363430550004,0.0755680367628287,0.00036784291838960905,0.10180379592926664,0.04248235450792383,0.08080040526849037,0.0008625282224308075,0.08805312714556246
ctt_test03,normality:stats_robust_mean_rollmean9,stats_robust_mean_rollmean9,val_fpr_1em04,0.37901409586083035,0.0,0.0,0.0,0.1712726150777081,0.5938018521461301,0.0,2623,0.0,,,0,0,1.654551300406456,0.0,0.0,stats_robust_mean_rollmean9,0.37901409586083035,0.01975062741002664,0.06523541680104995,0.9130369323775,0.47727093864455006,1.0,0.03662271940338261,0.07059427544602746,8.878966995611254e-05,0.13099579468657907,0.039419363430550004,0.0755680367628287,0.00036784291838960905,0.10180379592926664,0.04248235450792383,0.08080040526849037,0.0008625282224308075,0.08805312714556246
ctt_test03,normality:stats_robust_mean_rollmean9,stats_robust_mean_rollmean9,val_fpr_1em03,0.08689809564195175,0.8015075376884422,0.04248235450792383,0.08068799797647654,0.1712726150777081,0.5938018521461301,0.0010020548466475557,2623,0.04269919939001144,0.0,0.0,79,42,1.654551300406456,25.384525695686985,47.74708404664933,stats_robust_mean_rollmean9,0.08689809564195175,0.01975062741002664,0.06523541680104995,0.9158164151620786,0.5182882542996403,0.9575176454920762,0.03662271940338261,0.07059427544602746,8.878966995611254e-05,0.13099579468657907,0.039419363430550004,0.0755680367628287,0.00036784291838960905,0.10180379592926664,0.04248235450792383,0.08080040526849037,0.0008625282224308075,0.08805312714556246
ctt_test03,normality:stats_robust_mean_rollmax9,stats_robust_mean_rollmax9,val_f1,0.16519872382314074,0.7369402985074627,0.05260354241576774,0.09819763828464885,0.24454374340732715,0.6384484115733621,0.0017884776376874097,2623,0.0522302706824247,0.0,0.0,141,25,1.654551300406456,15.109836723623205,85.21947912123488,stats_robust_mean_rollmax9,0.16519872382314074,0.08528940893417955,0.0580999755446674,0.9159785516578457,0.5270671031889934,0.9473964575842323,0.032227993074976695,0.06239525589789867,7.61054313909536e-05,0.2594629804180383,0.032227993074976695,0.06239525589789867,7.61054313909536e-05,0.2594629804180383,0.05180450126514849,0.09757933023955852,0.00095131789238692,0.16519949626316024
ctt_test03,normality:stats_robust_mean_rollmax9,stats_robust_mean_rollmax9,val_fpr_1em04,0.8975012898593462,0.0,0.0,0.0,0.24454374340732715,0.6384484115733621,0.0,2623,0.0,,,0,0,1.654551300406456,0.0,0.0,stats_robust_mean_rollmax9,0.8975012898593462,0.08528940893417955,0.0580999755446674,0.9130369323775,0.47727093864455006,1.0,0.032227993074976695,0.06239525589789867,7.61054313909536e-05,0.2594629804180383,0.032227993074976695,0.06239525589789867,7.61054313909536e-05,0.2594629804180383,0.05180450126514849,0.09757933023955852,0.00095131789238692,0.16519949626316024
ctt_test03,normality:stats_robust_mean_rollmax9,stats_robust_mean_rollmax9,val_fpr_1em03,0.1798399926845914,0.8605200945626478,0.04847516313756825,0.09178013111447302,0.24454374340732715,0.6384484115733621,0.000748370075344377,2623,0.046130385055280214,0.0,0.0,59,8,1.654551300406456,4.8351477515594254,35.65921466775077,stats_robust_mean_rollmax9,0.1798399926845914,0.08528940893417955,0.0580999755446674,0.9165691917495686,0.5240282284831539,0.9515248368624317,0.032227993074976695,0.06239525589789867,7.61054313909536e-05,0.2594629804180383,0.032227993074976695,0.06239525589789867,7.61054313909536e-05,0.2594629804180383,0.05180450126514849,0.09757933023955852,0.00095131789238692,0.16519949626316024
ctt_test03,normality:stats_ledoit_mahal,stats_ledoit_mahal,val_f1,5.243461338807594e-08,0.9991961414790996,0.16553469170328938,0.28401690848851824,0.8458564109387728,0.9184967587082923,1.2684238565158933e-05,2623,0.06519252764010675,0.0,0.05903482437133789,1,1,1.654551300406456,0.6043934689449282,0.6043934689449282,stats_ledoit_mahal,5.243461338807594e-08,0.016174117990859535,0.08696306361793348,0.9274207557876938,0.6228948706989592,0.8344653082967106,0.2540950858969237,0.40492359932088284,8.878966995611254e-05,1.1173070175336706e-08,0.4153682247969104,0.5847942251804631,0.0004946853040411984,9.023632307040613e-09,0.49513916633373284,0.6577620521892967,0.0009893706080823968,8.726191626680305e-09
ctt_test03,normality:stats_ledoit_mahal,stats_ledoit_mahal,val_fpr_1em04,1.0871534063852019e-08,0.9949571356530509,0.26275136502863233,0.41571849978929626,0.8458564109387728,0.9184967587082923,0.00012684238565158933,2623,0.13495996950057187,0.0,0.13924641609191896,10,10,1.654551300406456,6.043934689449283,6.043934689449283,stats_ledoit_mahal,1.0871534063852019e-08,0.016174117990859535,0.08696306361793348,0.9357707853196984,0.6908680365516744,0.7372486349713677,0.2540950858969237,0.40492359932088284,8.878966995611254e-05,1.1173070175336706e-08,0.4153682247969104,0.5847942251804631,0.0004946853040411984,9.023632307040613e-09,0.49513916633373284,0.6577620521892967,0.0009893706080823968,8.726191626680305e-09
