dataset,model,seed,label_ratio,epochs,aux_loss_weight,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test01,cmf_can,2024,0.05,15,0.2,0.9949317807162148,0.9835294117647059,0.8649767201241594,0.9204514175612442,0.9589169623694855,0.9609934226122661,0.9869777764593074,0.0005082684383452232,0.13502327987584067,0.0071958176791669945,0.817899637868598,0.8985507246376813,9.076222113307556e-05,0.018498238176107407,0.8634247284014486,0.9198126205566272,0.000490115994118608,0.007344490848481655,0.8867046042421107,0.9262361523912457,0.000980231988237216,0.005109633784741163
ctt_test01,transformer,2024,0.1,15,0.2,0.9954578934446354,0.9994033412887828,0.8665287118468702,0.9282349681352176,0.9629448485806708,0.9706419810074383,0.9868944846310261,1.8152444226615113e-05,0.13347128815312986,0.007228695657104777,0.8949818934299018,0.9432933478735005,9.076222113307556e-05,0.004196333698928356,0.9208484221417486,0.9521262369617545,0.00047196354989199294,0.0027242035139352083,0.9399896533885153,0.955059132720105,0.0009983844324638312,0.002048071473836899
ctt_test01,concat_fusion,2024,0.1,15,0.2,0.9962470625372664,0.9982608695652174,0.8908432488360062,0.9414980863860033,0.9697797173726983,0.968359573760451,0.9861666824291486,5.445733267984534e-05,0.10915675116399379,0.09495599210262747,0.8996378685980342,0.9458797933097635,9.076222113307556e-05,0.07325997203588486,0.9146404552509053,0.9495166487647692,0.0004175062172121476,0.03479501232504845,0.9275737196068288,0.9489282879068538,0.000962079544010601,0.01849541999399662
ctt_test01,cmf_can,2024,0.1,15,0.2,0.9972642138122129,0.9955382041271612,0.9234350750129333,0.9581320450885669,0.9783589756435056,0.9729115126167441,0.9876520181512798,0.0001452195538129209,0.07656492498706674,0.004617545343935566,0.9234350750129333,0.9589041095890412,9.076222113307556e-05,0.005085160955786705,0.9394723228142783,0.961864406779661,0.000490115994118608,0.0017176993424072862,0.9493016037247801,0.9599790740256343,0.0009983844324638312,0.0009993074927479029
ctt_test01,transformer,2024,0.2,15,0.2,0.995984006173056,0.9994138335287222,0.8820486290739783,0.9370706237977466,0.9674982211874019,0.9719564102691733,0.9814685096365299,1.8152444226615113e-05,0.11795137092602173,0.004270833469927607,0.9239524055871702,0.9591836734693878,9.076222113307556e-05,0.002157284179702401,0.9456802897051215,0.9651531151003168,0.000490115994118608,0.001582461060024798,0.9539575788929125,0.9631757639070253,0.0009439270997839859,0.0013283948646858335
ctt_test01,concat_fusion,2024,0.2,15,0.2,0.9979481603591597,0.9994499449944995,0.9399896533885153,0.9688083177819248,0.9838737535161879,0.9748438306522051,0.9865800050385476,1.8152444226615113e-05,0.06001034661148474,0.00042325637303293966,0.9498189342990171,0.9729729729729728,9.076222113307556e-05,0.0003379478584975004,0.9555095706156234,0.9718495132859774,0.0003812013287589174,0.00025263192947022617,0.9560269011898603,0.9662745098039216,0.000798707545971065,0.00023781502386555076
ctt_test01,cmf_can,2024,0.2,15,0.2,0.9976675669040019,0.9955947136563876,0.9353336782203828,0.9645238730328087,0.9816590080064991,0.9727695726325467,0.9849022139661938,0.0001452195538129209,0.06466632177961718,0.00048491583671421613,0.9306777030522504,0.9628043885469629,9.076222113307556e-05,0.0005344844539649785,0.9513709260217279,0.9681495130297447,0.000490115994118608,0.00028533043223433197,0.9570615623383342,0.9642950221527236,0.000980231988237216,0.0002069042675429955
ctt_test01,transformer,2024,1.0,15,0.2,0.9957560239907404,0.9994093325457767,0.8753233316088981,0.9332597904026475,0.9655340593774544,0.9734599449634194,0.986234732965666,1.8152444226615113e-05,0.12467666839110192,0.0012141768308358148,0.926021727884118,0.9603004291845495,9.076222113307556e-05,0.0004909982671961188,0.9430936368339369,0.963785355537933,0.000490115994118608,0.00037750834599137306,0.9560269011898603,0.964509394572025,0.0009257746555573708,0.000312838819809258
ctt_test01,concat_fusion,2024,1.0,15,0.2,0.9972116025393708,0.9994369369369369,0.9182617692705639,0.9571313022378,0.9778451181964366,0.9743757319650577,0.9845791934280226,1.8152444226615113e-05,0.0817382307294361,1.171162471109719e-06,0.9425763062596999,0.9691489361702128,9.076222113307556e-05,6.179157594488061e-07,0.9534402483186757,0.9694897422409259,0.00047196354989199294,4.329474734277028e-07,0.9570615623383342,0.965553235908142,0.0008894697671041406,3.51272944953962e-07
ctt_test01,cmf_can,2024,1.0,15,0.2,0.9984918101785276,1.0,0.9555095706156234,0.9772486772486773,0.9882343654690023,0.9803787399520407,0.9917173627434108,0.0,0.04449042938437662,4.4360076344674465e-07,0.9684428349715468,0.9837099316868102,1.8152444226615113e-05,1.2224175804931292e-07,0.9710294878427315,0.9786235662148071,0.00047196354989199294,9.40537319138457e-08,0.9720641489912054,0.9735751295336789,0.0008713173228775254,8.687339914104086e-08
