dataset,setting,model,fpr_budget,threshold,recall,precision,f1,actual_fpr,available_from_scores
road,road,concat_fusion,0.0001,0.9744790196418762,0.706140350877193,0.9969040247678018,0.8267008985879332,0.00011176722612372631,True
road,road,concat_fusion,0.0005,0.0842936336994171,0.70796783625731,0.9862525458248472,0.8242553191489361,0.0005029525175567685,True
road,road,concat_fusion,0.001,0.0024430798366665,0.7083333333333334,0.9728915662650602,0.8197969543147209,0.001005905035113537,True
road,road,concat_fusion,0.005,8.536831592209637e-05,0.7097953216374269,0.8783355947535052,0.7851222963412169,0.005010897304547063,True
road,road,concat_fusion,0.01,3.308471059426665e-05,0.7101608187134503,0.7834677419354839,0.7450153374233128,0.010003166738073506,True
road,road,transformer,0.0001,0.9999998807907104,0.7076023391812866,0.9963973237261966,0.8275272494122675,0.00013039509714434736,True
road,road,transformer,0.0005,0.999991536140442,0.7083333333333334,0.9862595419847329,0.8245054243777921,0.0005029525175567685,True
road,road,transformer,0.001,0.9533520936965942,0.7090643274853801,0.9729187562688064,0.8202959830866807,0.001005905035113537,True
road,road,transformer,0.005,1.8388676892300282e-07,0.7127192982456141,0.878774222622803,0.7870837537840566,0.005010897304547063,True
road,road,transformer,0.01,5.8515364997902e-08,0.7134502923976608,0.7842507030936119,0.747177033492823,0.010003166738073506,True
