dataset,model,seed,label_ratio,epochs,aux_loss_weight,loss,focal_gamma,focal_alpha,sampler,selection_metric,class_weights,supcon_weight,supcon_temperature,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,source_file
ctt_test02,cmf_can,42,1.0,15,0.2,,,,,,,,,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.9324805949532672,0.9683574023354516,1.0,0.0,5.481834659804459e-07,0.7680099857346647,0.8683467741935484,8.493723138600574e-05,0.0004529231227934,0.8074179743223966,0.8909878000787091,0.0004756484957616,0.0003289463056717,0.829172610556348,0.9015122140364482,0.0009852718840776,0.0002767667756415,ctt_generalization_15ep.csv
ctt_test03,transformer,42,1.0,15,0.2,,,,,,,,,0.9141950502044078,1.0,0.0133173525103209,0.0262846628991983,0.4907023762749921,0.2707812715770379,0.6187847176131567,0.0,0.986682647489679,0.6055492734912412,0.0753762152084165,0.1400643405097748,8.878966995611254e-05,2.323068315490673e-07,0.0904248235450792,0.1650863116946267,0.000482001065476,1.9359180214451047e-07,0.1001464908776135,0.1803573569972418,0.0009893706080823,1.7530476270621878e-07,ctt_generalization_15ep.csv
ctt_test03,concat_fusion,42,1.0,15,0.2,,,,,,,,,0.9155153045270826,1.0,0.0284991343720868,0.0554188786740903,0.5055994927403706,0.3281309018456552,0.7924485771694834,0.0,0.9715008656279132,2.8958964685444003e-06,0.0797709415368224,0.1476824457593688,5.073695426063573e-05,2.001979879651117e-07,0.0846983619656412,0.1554252199413489,0.0004946853040411,1.252263643891638e-07,0.0868291383672925,0.1582716349071489,0.0009893706080823,1.0795805138741345e-07,ctt_generalization_15ep.csv
ctt_test03,cmf_can,42,1.0,15,0.2,,,,,,,,,0.9168818835628336,1.0,0.0442136103342655,0.0846830761382476,0.5205736600201955,0.3044429685189416,0.7792276774065259,0.0,0.9557863896657344,5.481834659804459e-07,0.0832334531895059,0.1535437906891045,8.878966995611254e-05,1.5679128750889507e-07,0.0849647090158476,0.1558949297495418,0.000482001065476,1.200090622432981e-07,0.0869623118923958,0.1584951456310679,0.0009893706080823,1.0682981610443677e-07,ctt_generalization_15ep.csv
ctt_test04,transformer,42,1.0,15,0.2,,,,,,,,,0.0262934947049924,0.0113239146634707,0.9794019933554816,0.022388966522875,0.0262779622560731,0.1732558303780162,0.6453118473827439,0.9846818929568844,0.0205980066445182,0.6055499100688475,0.0,0.0,0.0,1.000000000001,0.0584717607973421,0.1090458488228004,0.0001606794445082,0.9999998807907104,0.0584717607973421,0.1090458488228004,0.0001606794445082,0.9999998807907104,ctt_generalization_15ep.csv
ctt_test04,concat_fusion,42,1.0,15,0.2,,,,,,,,,0.146875945537065,0.0120669999123037,0.9142857142857144,0.0238196217596399,0.133100151120978,0.2231220253826226,0.7110974843282889,0.861961054363212,0.0857142857142857,2.8958961138414665e-06,0.1023255813953488,0.1842105263157894,9.946822755269905e-05,0.1966325044631958,0.1242524916943521,0.2135922330097087,0.0004514327250468,0.0280220843851566,0.1654485049833887,0.2643312101910828,0.0009946822755269,0.0009583296487107,ctt_generalization_15ep.csv
ctt_test04,cmf_can,42,1.0,15,0.2,,,,,,,,,0.425340393343419,0.0143988105330429,0.7335548172757476,0.028243239786129,0.3101446461735255,0.1655882870835184,0.6845533646532422,0.5782088067638395,0.2664451827242525,5.481837160914888e-07,0.0033222591362126,0.0065832784726793,6.886261907494549e-05,0.0037202006205916,0.015282392026578,0.029040404040404,0.0004284785186885,0.0007515341276302,0.1275747508305647,0.2104109589041095,0.0009793794712881,6.809673323004972e-06,ctt_generalization_15ep.csv
ctt_test02,stats_only,42,1.0,15,0.2,,,,,,,,,0.102287708414114,0.0844304522037779,0.9468616262482168,0.1550364963503649,0.0987754855614521,0.824823372184875,0.8710008119441959,0.9781711315337964,0.0531383737517831,1.8612452038269225e-07,0.7523181169757489,0.8582180634662326,8.493723138600574e-05,1.8786080318022869e-06,0.7551711840228246,0.8580690912774795,0.0004756484957616,1.7481255554230302e-06,0.7578459343794579,0.8572004840661557,0.0009852718840776,1.6901891513043663e-06,ctt_generalization_15ep.csv
ctt_test02,cmf_can_robust,42,1.0,15,0.2,,,,,,,,,0.0995424583171772,0.0880601938392422,0.9996433666191156,0.1618617274682758,0.0945365338804156,0.8128687690718236,0.9574581077700556,0.9862061936229126,0.0003566333808844,9.290133289141652e-07,0.0579529243937232,0.1094644661502189,8.493723138600574e-05,0.1087707206606864,0.1271398002853067,0.2245669291338582,0.0004926359420388,0.0195946060121059,0.1861626248216833,0.3111773472429209,0.0009852718840776,0.0087816808372735,ctt_generalization_15ep.csv
ctt_test03,stats_only,42,1.0,15,0.2,,,,,,,,,0.9170556012368698,0.8592132505175983,0.0552670129178319,0.1038538538538538,0.530184628715612,0.3882426277220577,0.8584064867949408,0.0008625282224308,0.944732987082168,1.8612452038269225e-07,0.0431482221334398,0.082684700778359,5.073695426063573e-05,9.549002015774022e-07,0.0504727660141163,0.0956466876971608,0.0004693168269108,2.479425234014343e-07,0.0561992275935544,0.1053946053946053,0.0009766863695172,1.7814626573908757e-07,ctt_generalization_15ep.csv
