dataset,feature,normal_vs_attack_effect_size,single_feature_auc,train_vs_test_shift,PSI,wasserstein,ks_statistic
ctt_test02,top_id_frequency,4.045846939086914,0.9531884564268488,-0.60586697,75.81761277562578,1.8850707862368479,0.9221869
ctt_test02,payload_mean,-0.14974690973758698,0.5172978397566195,0.018515507,1.5865897271592186,0.30481853171209033,0.14622033
ctt_test02,payload_std,-2.193615674972534,0.9273665384675874,-0.8961561,2.680130819605442,0.916454212905755,0.47383356
ctt_test02,payload_min,,0.5,0.0,2.6341658115868267e-17,0.0,0.0
ctt_test02,payload_max,,0.5,0.0,2.6341658115868267e-17,0.0,0.0
ctt_test02,dlc_mean_norm,,0.5,0.0,2.6341658115868267e-17,0.0,0.0
ctt_test02,dlc_std_norm,,0.5,0.0,2.6341658115868267e-17,0.0,0.0
ctt_test02,delta_t_global_mean,-3.0893027782440186,0.9482409399418167,-7.3979945,10.544707186626894,7.397994413856746,0.99661577
ctt_test02,delta_t_global_std,-3.449265956878662,0.9485181218732709,-3.515396,39.46163290593809,3.5153972433881733,0.9592606
ctt_test02,delta_t_same_id_mean,-0.4825572073459625,0.8158232706543416,0.09797385,0.8276207999277969,0.21053894639714352,0.19618008
ctt_test02,delta_t_same_id_std,-0.15101774036884308,0.5839307857769855,-0.08480779,1.3923810722920116,0.15845348898876302,0.11841935
ctt_test02,payload_delta_l1_mean,-1.1079591512680054,0.7819531728926787,0.022249872,0.29014406561640427,0.16659484931348434,0.09144503
ctt_test02,payload_delta_l1_std,-0.7660253643989563,0.6982034997071543,0.22296357,0.7221906670426596,0.2654253511182539,0.1283257
ctt_test02,payload_change_rate,-2.6499316692352295,0.9353211858391,-0.2599672,0.19730330009316496,0.27119764057872175,0.09665237
ctt_test02,transition_prob_mean,-1.6512916088104248,0.8763146414435966,-7.8578935,10.371167528789137,7.857893865283113,1.0
ctt_test02,transition_prob_std,-1.2532577514648438,0.8385387472017665,-27.770021,6.646324927474279,27.770021702351478,1.0
