dataset,model,attack_type,precision,recall,f1,support,mean_score,false_negative_count,false_positive_count,gate_frame,gate_window,gate_context
ctt_test03,concat_fusion,interval-3,0.0,0.0,0.0,4291,1.6015930505949902e-08,4291,0,0.29459022219935044,0.40435735714988424,0.3010524203590623
ctt_test03,concat_fusion,interval-4,0.0,0.0,0.0,126,1.5620189170336504e-08,126,0,0.2911411038939915,0.40759264169231296,0.30126625346759
ctt_test03,concat_fusion,speed-3,1.0,0.507537688442211,0.6733333333333333,199,9.148319908983096e-06,98,0,0.27070519964599127,0.43487359650770024,0.29442119808053246
ctt_test03,concat_fusion,speed-4,1.0,0.21176470588235294,0.34951456310679613,85,2.199166969377001e-06,67,0,0.2725513034007128,0.4366585608790903,0.2907901367720435
ctt_test03,concat_fusion,systematic-3,0.0,0.0,0.0,919,1.5269153646462214e-08,919,0,0.2850370086380914,0.4070408810274645,0.30792211360978095
ctt_test03,concat_fusion,systematic-4,0.0,0.0,0.0,124,1.810397630374802e-08,124,0,0.29391221918406024,0.4070122886088587,0.29907549340878764
ctt_test03,concat_fusion,triple-3,1.0,0.30057803468208094,0.4622222222222222,173,2.8197882245024504e-06,121,0,0.2257431127087918,0.4230720090728275,0.35118487839064844
ctt_test03,concat_fusion,triple-4,1.0,0.13043478260869565,0.23076923076923078,46,1.983919965661708e-06,40,0,0.20201793248238767,0.4232921418936356,0.37468992108884064
ctt_test03,transformer,double-3,0.0,0.0,0.0,101,3.701733875642943e-07,101,0,0.2305463152651739,0.483408114402601,0.28604556959454375
ctt_test03,transformer,double-4,0.0,0.0,0.0,47,1.722462863782273e-07,47,0,0.19969260977937817,0.49228085418964956,0.3080265325434664
ctt_test03,transformer,fuzzing-3,0.0,0.0,0.0,1360,2.1496722268921076e-07,1360,0,0.28391617096084004,0.4108622833648149,0.30522154635366266
ctt_test03,transformer,fuzzing-4,0.0,0.0,0.0,38,1.0019500906148432e-07,38,0,0.28518176470932205,0.4069872961232537,0.3078309485786839
