file_path,kind,file_size_bytes,num_rows,num_columns,status,paper_use
results/final_grain_can/predictions/ctt_test04_ctt_test04_GradientBoosting_aggregate_window100_scores.csv,csv,38838597,132200.0,28.0,ok,support_or_limitations
results/final_grain_can/predictions/test04_GradientBoosting_ctt_test04_samplelevel_predictions_scores.csv,csv,3857966,50000.0,7.0,ok,support_or_limitations
results/final_grain_can/predictions/test04_RandomForest_ctt_test04_samplelevel_predictions_scores.csv,csv,2972751,50000.0,7.0,ok,support_or_limitations
results/final_grain_can/recommended_paper_outline.md,md,787,,,ok,support_or_limitations
results/final_grain_can/revision/aggregate_score_dump_metrics.csv,csv,1405,4.0,15.0,ok,support_or_limitations
results/final_grain_can/tables/a1_official_sample_negative_stability.csv,csv,81155,237.0,34.0,ok,support_or_limitations
results/final_grain_can/tables/a1_official_sample_negative_stability.tex,tex,88078,,,ok,support_or_limitations
results/final_grain_can/tables/b1_granularity_full_matrix.csv,csv,6845,28.0,31.0,ok,support_or_limitations
results/final_grain_can/tables/b1_granularity_full_matrix.tex,tex,6951,,,ok,support_or_limitations
results/final_grain_can/tables/b2_feature_preservation_by_granularity.csv,csv,5577,56.0,11.0,ok,support_or_limitations
results/final_grain_can/tables/b2_feature_preservation_by_granularity.tex,tex,5622,,,ok,support_or_limitations
results/final_grain_can/tables/c1_test04_candidate_leaderboard.csv,csv,5446,15.0,34.0,ok,support_or_limitations
results/final_grain_can/tables/c1_test04_candidate_leaderboard.tex,tex,5028,,,ok,support_or_limitations
results/final_grain_can/tables/c2_test04_error_analysis.csv,csv,443,2.0,8.0,ok,support_or_limitations
results/final_grain_can/tables/c2_test04_error_analysis.tex,tex,575,,,ok,support_or_limitations
results/final_grain_can/tables/current_state_summary.csv,csv,1140,4.0,20.0,ok,support_or_limitations
results/final_grain_can/tables/current_state_summary.tex,tex,1148,,,ok,support_or_limitations
results/final_grain_can/tables/d1_normality_policy_final.csv,csv,1860,8.0,14.0,ok,support_or_limitations
results/final_grain_can/tables/d1_normality_policy_final.tex,tex,1404,,,ok,support_or_limitations
results/final_grain_can/tables/e1_low_fpr_leaderboard.csv,csv,7984,30.0,12.0,ok,support_or_limitations
results/final_grain_can/tables/e1_low_fpr_leaderboard.tex,tex,7205,,,ok,support_or_limitations
results/final_grain_can/tables/f2_event_level_metrics.csv,csv,835,4.0,13.0,ok,support_or_limitations
results/final_grain_can/tables/f2_event_level_metrics.tex,tex,1010,,,ok,support_or_limitations
results/final_grain_can/tables/g1_cross_dataset_validation.csv,csv,8462,49.0,40.0,ok,support_or_limitations
results/final_grain_can/tables/g1_cross_dataset_validation.tex,tex,13960,,,ok,support_or_limitations
results/final_grain_can/tables/i1_strong_baseline_leaderboard.csv,csv,14829,47.0,46.0,ok,support_or_limitations
results/final_grain_can/tables/i1_strong_baseline_leaderboard.tex,tex,16497,,,ok,support_or_limitations
results/final_grain_can/tables/paper_table_ctt_leaderboard.csv,csv,5446,15.0,34.0,ok,main
results/final_grain_can/tables/paper_table_ctt_leaderboard.tex,tex,5028,,,ok,main
results/final_grain_can/tables/paper_table_event_level.csv,csv,832,4.0,13.0,ok,main
results/final_grain_can/tables/paper_table_event_level.tex,tex,1010,,,ok,main
results/final_grain_can/tables/paper_table_feature_preservation.csv,csv,5577,56.0,11.0,ok,main
results/final_grain_can/tables/paper_table_feature_preservation.tex,tex,5622,,,ok,main
results/final_grain_can/tables/paper_table_granularity_comparison.csv,csv,6845,28.0,31.0,ok,main
results/final_grain_can/tables/paper_table_granularity_comparison.tex,tex,6951,,,ok,main
results/final_grain_can/tables/paper_table_low_fpr.csv,csv,7901,30.0,12.0,ok,main
results/final_grain_can/tables/paper_table_low_fpr.tex,tex,7205,,,ok,main
results/final_grain_can/tables/paper_table_strong_baselines.csv,csv,14829,47.0,46.0,ok,main
results/final_grain_can/tables/paper_table_strong_baselines.tex,tex,16497,,,ok,main
results/final_grain_can/unsafe_claims_do_not_write.md,md,378,,,ok,support_or_limitations
