setting,model,score_available,aupr,auroc,score_file,fpr_budget,recall_at_budget,actual_fpr,threshold,note
ctt_test03,Raw-window+GB,True,0.15274452725976553,0.5360234385404181,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test03_Raw-window_GB_scores.csv,0.005,0.07204687708083633,0.00499758999467262,0.0004388602610194,diagnostic operating curve from model scores
ctt_test03,Raw-window+GB,True,0.15274452725976553,0.5360234385404181,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test03_Raw-window_GB_scores.csv,0.01,0.07204687708083633,0.00999517998934524,0.0004388602610194,diagnostic operating curve from model scores
ctt_test04,GRAIN+GB,True,0.7900412414566776,0.9036418920112627,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test04_GRAIN_GB_scores.csv,0.0001,0.4764119601328904,9.946822755269903e-05,0.3255720064169615,diagnostic operating curve from model scores
ctt_test04,GRAIN+GB,True,0.7900412414566776,0.9036418920112627,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test04_GRAIN_GB_scores.csv,0.0005,0.7488372093023256,0.0004973411377634952,0.0837095267590383,diagnostic operating curve from model scores
ctt_test04,GRAIN+GB,True,0.7900412414566776,0.9036418920112627,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test04_GRAIN_GB_scores.csv,0.001,0.8053156146179402,0.0009946822755269903,0.0005417494064455,diagnostic operating curve from model scores
ctt_test04,GRAIN+GB,True,0.7900412414566776,0.9036418920112627,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test04_GRAIN_GB_scores.csv,0.005,0.8053156146179402,0.004996365583993267,0.0005417494064455,diagnostic operating curve from model scores
ctt_test04,GRAIN+GB,True,0.7900412414566776,0.9036418920112627,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test04_GRAIN_GB_scores.csv,0.01,0.8431893687707641,0.009992731167986534,0.0005417494064455,diagnostic operating curve from model scores
ctt_test04,Raw-window+GB,True,0.10709760693645594,0.5697438775755325,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test04_Raw-window_GB_scores.csv,0.0001,0.0,9.946822755269903e-05,0.9978253405514852,diagnostic operating curve from model scores
ctt_test04,Raw-window+GB,True,0.10709760693645594,0.5697438775755325,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test04_Raw-window_GB_scores.csv,0.0005,0.10631229235880399,0.0004973411377634952,0.9978253405514852,diagnostic operating curve from model scores
ctt_test04,Raw-window+GB,True,0.10709760693645594,0.5697438775755325,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test04_Raw-window_GB_scores.csv,0.001,0.14019933554817277,0.0009946822755269903,0.0004388602610194,diagnostic operating curve from model scores
ctt_test04,Raw-window+GB,True,0.10709760693645594,0.5697438775755325,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test04_Raw-window_GB_scores.csv,0.005,0.14019933554817277,0.004996365583993267,0.0004388602610194,diagnostic operating curve from model scores
ctt_test04,Raw-window+GB,True,0.10709760693645594,0.5697438775755325,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test04_Raw-window_GB_scores.csv,0.01,0.14019933554817277,0.009992731167986534,0.0004388602610194,diagnostic operating curve from model scores
