dataset,model,seed,label_ratio,epochs,aux_loss_weight,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,setting,display_model,source,loss,focal_gamma,focal_alpha,sampler,selection_metric,class_weights,supcon_weight,supcon_temperature
ctt_test04,wo_stats,42.0,1.0,20.0,0.2,0.0113842662632375,0.0113842662632375,1.0,0.0225122471111775,0.0112561235555887,0.1424309132406376,0.6818326887471897,1.0,0.0,1.9337933917996236e-05,0.0199335548172757,0.0388349514563106,7.651402119438387e-05,0.9819573163986206,0.0431893687707641,0.0795593635250918,0.000489689735644,0.9059115648269652,0.1196013289036544,0.1983471074380165,0.0009946822755269,0.1817105114459991,ctt_test04,-Win,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test04,wo_gate,42.0,1.0,20.0,0.2,0.933608169440242,0.0663167938931297,0.3694352159468438,0.1124481747396096,0.5389812177099473,0.1298270267823226,0.6744992290767515,0.0598951757909636,0.6305647840531562,1.3733331388721436e-06,0.0,0.0,9.946822755269905e-05,0.921496033668518,0.001328903654485,0.0025706940874035,0.0003749187038524,0.695261538028717,0.1169435215946843,0.1943677526228603,0.0009946822755269,1.9422182958805934e-05,ctt_test04,-Gate,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test04,wo_xattn,42.0,1.0,20.0,0.2,0.09642965204236,0.0120147950782368,0.964784053156146,0.0237340220340645,0.0913916653494926,0.1563353591349444,0.7135211053505288,0.913569761658824,0.0352159468438538,2.3311186566843961e-07,0.0039867109634551,0.0078947368421052,6.886261907494549e-05,0.0015605963999405,0.0172757475083056,0.0326018808777429,0.000489689735644,0.0003012647794093,0.121594684385382,0.201430930104568,0.0009870308734075,3.152364797642804e-06,ctt_test04,-XAttn,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
,Reliable-CMF-CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,road,Reliable-CMF-CAN,not trained,,,,,,,,
,Reliable-CMF-CAN w/o shift,,,,,,,,,,,,,,,,,,,,,,,,,,,road,Reliable-CMF-CAN w/o shift,not trained,,,,,,,,
,Reliable-CMF-CAN w/o normality,,,,,,,,,,,,,,,,,,,,,,,,,,,road,Reliable-CMF-CAN w/o normality,not trained,,,,,,,,
,Reliable-CMF-CAN w/o segment,,,,,,,,,,,,,,,,,,,,,,,,,,,road,Reliable-CMF-CAN w/o segment,not trained,,,,,,,,
,Reliable-CMF-CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,ctt_test01,Reliable-CMF-CAN,not trained,,,,,,,,
,Reliable-CMF-CAN w/o shift,,,,,,,,,,,,,,,,,,,,,,,,,,,ctt_test01,Reliable-CMF-CAN w/o shift,not trained,,,,,,,,
,Reliable-CMF-CAN w/o normality,,,,,,,,,,,,,,,,,,,,,,,,,,,ctt_test01,Reliable-CMF-CAN w/o normality,not trained,,,,,,,,
,Reliable-CMF-CAN w/o segment,,,,,,,,,,,,,,,,,,,,,,,,,,,ctt_test01,Reliable-CMF-CAN w/o segment,not trained,,,,,,,,
,Reliable-CMF-CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,ctt_test02,Reliable-CMF-CAN,not trained,,,,,,,,
,Reliable-CMF-CAN w/o shift,,,,,,,,,,,,,,,,,,,,,,,,,,,ctt_test02,Reliable-CMF-CAN w/o shift,not trained,,,,,,,,
,Reliable-CMF-CAN w/o normality,,,,,,,,,,,,,,,,,,,,,,,,,,,ctt_test02,Reliable-CMF-CAN w/o normality,not trained,,,,,,,,
,Reliable-CMF-CAN w/o segment,,,,,,,,,,,,,,,,,,,,,,,,,,,ctt_test02,Reliable-CMF-CAN w/o segment,not trained,,,,,,,,
,Reliable-CMF-CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,ctt_test04,Reliable-CMF-CAN,not trained,,,,,,,,
,Reliable-CMF-CAN w/o shift,,,,,,,,,,,,,,,,,,,,,,,,,,,ctt_test04,Reliable-CMF-CAN w/o shift,not trained,,,,,,,,
,Reliable-CMF-CAN w/o normality,,,,,,,,,,,,,,,,,,,,,,,,,,,ctt_test04,Reliable-CMF-CAN w/o normality,not trained,,,,,,,,
,Reliable-CMF-CAN w/o segment,,,,,,,,,,,,,,,,,,,,,,,,,,,ctt_test04,Reliable-CMF-CAN w/o segment,not trained,,,,,,,,
