model,local_model,feature_protocol,source,reported_accuracy,reported_precision,reported_recall,reported_f1,diff_f1_attack,diff_f1_normal,diff_f1_macro,diff_f1_weighted,diff_f1_accuracy,diff_recall_attack,diff_recall_normal,diff_recall_weighted,diff_recall_accuracy,diff_precision_attack,diff_precision_normal,diff_precision_weighted,best_matching_f1_metric,best_matching_recall_metric,best_matching_precision_metric,overall_metric_hypothesis,best_f1_diff
LogisticRegression,LogisticRegression,SAFE_CAN,test04_public_reproduction,0.9976,0.9979,0.9976,0.9977,0.9745922611625498,0.0004931719227584397,0.48754271654265413,0.0015426791051067479,0.003270416673127441,0.9364514462229712,0.0021638028666748355,0.003170416673127452,0.003170416673127452,0.9836544731935493,0.0010837692608325344,2.279931475079877e-05,normal,normal,weighted,weighted/accuracy-like,0.0004931719227584397
LinearSVM,LinearSVM,SAFE_CAN,test04_public_reproduction,0.9942,0.0002,0.0009,0.0003,0.026235577236588467,0.9982298796014839,0.5122327284190362,0.9971826401442232,0.9967641928421311,0.0362384442572311,0.997199544982698,0.9961641928421311,0.9961641928421311,0.020442291333359924,0.9987605854613227,0.9977065324520838,attack,attack,attack,attack-positive-like,0.026235577236588467
LinearSVM,LinearSVM,P1_public_default,test04_public_reproduction,0.9942,0.0002,0.0009,0.0003,0.002843024196945829,0.9692663554473206,0.4860546898221332,0.9682251182276782,0.9406359138099725,0.0855223532715529,0.9409575709749679,0.9400359138099724,0.9400359138099724,0.001400617882711507,0.9987549031010539,0.9976803404644135,attack,attack,attack,attack-positive-like,0.002843024196945829
DecisionTree,,,,,,,,,,,,,,,,,,,,,,,unknown_no_local_row,
ExtraTrees,ExtraTrees,SAFE_CAN,test04_public_reproduction,0.9988,0.0,0.0,0.0,0.015356694122574505,0.9957135209227569,0.5055351075226657,0.9946572715715805,0.9914642010112285,0.061780398764392,0.9924669349373948,0.9914642010112285,0.9914642010112285,0.008768084173608174,0.9989814172674772,0.9979145483866634,attack,attack,attack,attack-positive-like,0.015356694122574505
ExtraTrees,ExtraTrees,P1_public_default,test04_public_reproduction,0.9988,0.0,0.0,0.0,0.004428939318925848,0.979984175921042,0.49220655761998394,0.978933099866356,0.960757320702497,0.0810165683796686,0.9617061872918183,0.960757320702497,0.960757320702497,0.0022766999293710078,0.9989704004685975,0.9978965495545867,attack,attack,attack,attack-positive-like,0.004428939318925848
GradientBoosting,GradientBoosting,P1_public_default,test04_public_reproduction,0.9984,0.998,0.9984,0.9982,0.9913159890894921,0.00990314332562281,0.5006095662075575,0.01096053044553269,0.021333673283761567,0.9239827014883459,0.020560314110427913,0.021533673283761545,0.021533673283761545,0.9943910716474418,0.0009801064281840244,9.231958271405105e-05,normal,normal,weighted,weighted/accuracy-like,0.00990314332562281
GradientBoosting,GradientBoosting,SAFE_CAN,test04_public_reproduction,0.9984,0.998,0.9984,0.9982,0.5169955686014447,0.0013852382673300578,0.2578051651670573,0.0008267279617462098,0.0009711391843988393,0.6416181971356361,0.001464004414253206,0.0007711391843988613,0.0007711391843988613,0.25912241930787483,0.0013066275193498456,0.001026037835860305,weighted,weighted,weighted,weighted/accuracy-like,0.0008267279617462098
GradientBoosting,GradientBoosting,P1_public_default,test04_public_reproduction,0.9984,0.998,0.9984,0.9982,0.9938566827304337,0.01706962741220186,0.5054631550713178,0.01812203064458917,0.03523732558882742,0.9234210614995788,0.03447956832153953,0.035437325588827395,0.035437325588827395,0.995763566232363,0.0009660212905758803,0.0001078682885436999,normal,normal,weighted,weighted/accuracy-like,0.01706962741220186
GradientBoosting,GradientBoosting,SAFE_CAN,test04_public_reproduction,0.9984,0.998,0.9984,0.9982,0.5185757293989036,0.0013848225916162082,0.25859545340364365,0.0008246102478415285,0.0009703071467122015,0.6435137320977253,0.0014652159562199563,0.0007703071467122236,0.0007703071467122236,0.2584242867592119,0.0013045864449980904,0.0010247511377874385,weighted,weighted,weighted,weighted/accuracy-like,0.0008246102478415285
